model_id,packet_id,run_index,output_id,output_level,reference_concept_id,recovered_votes,unmatched_votes,cannot_judge_votes,panel_status,unanimous
gpt-5.4,syn_agyw_01,1,syn_agyw_01__run1__gpt-5.4,code,R01,3,0,0,recovered,1
gpt-5.4,syn_agyw_01,1,syn_agyw_01__run1__gpt-5.4,code,R02,3,0,0,recovered,1
gpt-5.4,syn_agyw_01,1,syn_agyw_01__run1__gpt-5.4,code,R03,3,0,0,recovered,1
gpt-5.4,syn_agyw_01,1,syn_agyw_01__run1__gpt-5.4,code,R04,3,0,0,recovered,1
gpt-5.4,syn_agyw_01,1,syn_agyw_01__run1__gpt-5.4,code,R05,3,0,0,recovered,1
gpt-5.4,syn_agyw_01,1,syn_agyw_01__run1__gpt-5.4,code,R06,0,3,0,unmatched,1
gpt-5.4,syn_agyw_01,1,syn_agyw_01__run1__gpt-5.4,theme,R01,3,0,0,recovered,1
gpt-5.4,syn_agyw_01,1,syn_agyw_01__run1__gpt-5.4,theme,R02,2,1,0,recovered,0
gpt-5.4,syn_agyw_01,1,syn_agyw_01__run1__gpt-5.4,theme,R03,3,0,0,recovered,1
gpt-5.4,syn_agyw_01,1,syn_agyw_01__run1__gpt-5.4,theme,R04,3,0,0,recovered,1
gpt-5.4,syn_agyw_01,1,syn_agyw_01__run1__gpt-5.4,theme,R05,3,0,0,recovered,1
gpt-5.4,syn_agyw_01,1,syn_agyw_01__run1__gpt-5.4,theme,R06,0,3,0,unmatched,1
gpt-5.4,syn_agyw_01,2,syn_agyw_01__run2__gpt-5.4,code,R01,3,0,0,recovered,1
gpt-5.4,syn_agyw_01,2,syn_agyw_01__run2__gpt-5.4,code,R02,3,0,0,recovered,1
gpt-5.4,syn_agyw_01,2,syn_agyw_01__run2__gpt-5.4,code,R03,3,0,0,recovered,1
gpt-5.4,syn_agyw_01,2,syn_agyw_01__run2__gpt-5.4,code,R04,3,0,0,recovered,1
gpt-5.4,syn_agyw_01,2,syn_agyw_01__run2__gpt-5.4,code,R05,3,0,0,recovered,1
gpt-5.4,syn_agyw_01,2,syn_agyw_01__run2__gpt-5.4,code,R06,1,2,0,unmatched,0
gpt-5.4,syn_agyw_01,2,syn_agyw_01__run2__gpt-5.4,theme,R01,3,0,0,recovered,1
