epoch,packet_id,query_id,prediction_status,decision,reported_flaws_not_gold_verified,learning_status,added,refined,reinforced,withheld,memory_revision_after,learned_rule_prompt_inclusions,reported_applications,review_integrity_findings,rule_trace_integrity_findings
1,paragraph_2689f80d4afc0cd0,development/dreaddit/E1/paragraph_2689f80d4afc0cd0,valid,established_flaw,1,no_change,0,0,0,0,1,1,1,0,0
1,paragraph_530c399fd24ae282,development/dreaddit/E1/paragraph_530c399fd24ae282,valid,established_flaw,1,no_change,0,0,0,1,1,1,1,0,0
1,paragraph_c48af219135b6ff0,development/dreaddit/E1/paragraph_c48af219135b6ff0,valid,established_flaw,1,no_change,0,0,0,1,1,1,1,0,0
1,paragraph_af2e7b6840e19dc7,development/dreaddit/E1/paragraph_af2e7b6840e19dc7,valid,established_flaw,1,no_change,0,0,0,2,1,1,1,0,0
1,paragraph_a543b5f2d7201cf1,development/dreaddit/E1/paragraph_a543b5f2d7201cf1,valid,established_flaw,1,no_change,0,0,0,1,1,1,1,0,0
1,paragraph_7504f2f5a376c549,development/dreaddit/E1/paragraph_7504f2f5a376c549,valid,established_flaw,1,no_change,0,0,0,2,1,1,1,1,1
1,paragraph_269e85cffb44b9d1,development/dreaddit/E1/paragraph_269e85cffb44b9d1,valid,established_flaw,1,no_change,0,0,0,1,1,1,1,0,0
1,paragraph_07bdff0b3fedd9c2,development/dreaddit/E1/paragraph_07bdff0b3fedd9c2,valid,established_flaw,1,no_change,0,0,0,2,1,1,1,2,3
1,paragraph_182d724820942e06,development/dreaddit/E1/paragraph_182d724820942e06,valid,established_flaw,1,no_change,0,0,0,2,1,1,1,0,0
1,paragraph_0646b0f2e7bc215b,development/dreaddit/E1/paragraph_0646b0f2e7bc215b,valid,established_flaw,1,no_change,0,0,0,1,1,1,1,0,0
1,paragraph_638df133c699d6e3,development/dreaddit/E1/paragraph_638df133c699d6e3,valid,established_flaw,1,no_change,0,0,0,1,1,1,1,0,0
1,paragraph_f65cc462ff88d6cd,development/dreaddit/E1/paragraph_f65cc462ff88d6cd,valid,established_flaw,1,updated,2,0,0,0,2,1,1,0,0
2,paragraph_638df133c699d6e3,development/dreaddit/E2/paragraph_638df133c699d6e3,valid,no_flaw_established,1,no_change,0,0,0,1,2,3,2,3,1
2,paragraph_07bdff0b3fedd9c2,development/dreaddit/E2/paragraph_07bdff0b3fedd9c2,valid,established_flaw,1,no_change,0,0,0,2,2,3,3,0,1
2,paragraph_7504f2f5a376c549,development/dreaddit/E2/paragraph_7504f2f5a376c549,valid,established_flaw,1,no_change,0,0,0,0,2,3,3,1,5
2,paragraph_c48af219135b6ff0,development/dreaddit/E2/paragraph_c48af219135b6ff0,valid,no_flaw_established,1,no_change,0,0,0,2,2,3,3,3,1
2,paragraph_f65cc462ff88d6cd,development/dreaddit/E2/paragraph_f65cc462ff88d6cd,valid,no_flaw_established,1,no_change,0,0,0,0,2,3,3,1,0
2,paragraph_2689f80d4afc0cd0,development/dreaddit/E2/paragraph_2689f80d4afc0cd0,valid,established_flaw,1,no_change,0,0,0,1,2,3,3,0,2
2,paragraph_182d724820942e06,development/dreaddit/E2/paragraph_182d724820942e06,valid,no_flaw_established,1,no_change,0,0,0,2,2,3,2,1,0
2,paragraph_0646b0f2e7bc215b,development/dreaddit/E2/paragraph_0646b0f2e7bc215b,valid,established_flaw,1,no_change,0,0,0,1,2,3,3,0,0
2,paragraph_530c399fd24ae282,development/dreaddit/E2/paragraph_530c399fd24ae282,valid,no_flaw_established,1,no_change,0,0,0,2,2,3,1,1,0
2,paragraph_a543b5f2d7201cf1,development/dreaddit/E2/paragraph_a543b5f2d7201cf1,valid,no_flaw_established,2,no_change,0,0,0,1,2,3,1,1,0
2,paragraph_269e85cffb44b9d1,development/dreaddit/E2/paragraph_269e85cffb44b9d1,valid,no_flaw_established,1,no_change,0,0,0,2,2,3,0,1,0
2,paragraph_af2e7b6840e19dc7,development/dreaddit/E2/paragraph_af2e7b6840e19dc7,valid,no_flaw_established,1,no_change,0,0,0,2,2,3,0,1,3
3,paragraph_f65cc462ff88d6cd,development/dreaddit/E3/paragraph_f65cc462ff88d6cd,valid,no_flaw_established,1,no_change,0,0,0,0,2,3,3,1,0
3,paragraph_182d724820942e06,development/dreaddit/E3/paragraph_182d724820942e06,valid,no_flaw_established,1,no_change,0,0,0,2,2,3,2,1,0
