id,group,name,scope,direction,unit,definition,requires,implementation_status
accuracy,classification,Accuracy / exact-set accuracy,Dreaddit; GoEmotions,up,%,100 * correct exact label predictions / 100 planned items. Invalid/abstaining outputs are incorrect; unattempted items keep the row partial.,Saved predictions and released GT,specified_not_yet_validated_for_server
valid_accuracy,classification,Valid-output accuracy,Dreaddit; GoEmotions,up,%,100 * exact correct / valid parsed predictions; diagnostic only; always show valid N.,Saved predictions and released GT,specified_not_yet_validated_for_server
micro_precision,classification,Micro precision,Dreaddit; GoEmotions,up,%,Compute precision using micro averaging over the fixed label inventory (2 or 28). zero_division=0; report per-label support. Weighted uses GT support. Requires all planned outputs valid; otherwise NC with failure-aware Acc reported.,Saved predictions and released GT,specified_not_yet_validated_for_server
micro_recall,classification,Micro recall,Dreaddit; GoEmotions,up,%,Compute recall using micro averaging over the fixed label inventory (2 or 28). zero_division=0; report per-label support. Weighted uses GT support. Requires all planned outputs valid; otherwise NC with failure-aware Acc reported.,Saved predictions and released GT,specified_not_yet_validated_for_server
micro_f1,classification,Micro f1,Dreaddit; GoEmotions,up,%,Compute f1 using micro averaging over the fixed label inventory (2 or 28). zero_division=0; report per-label support. Weighted uses GT support. Requires all planned outputs valid; otherwise NC with failure-aware Acc reported.,Saved predictions and released GT,specified_not_yet_validated_for_server
macro_precision,classification,Macro precision,Dreaddit; GoEmotions,up,%,Compute precision using macro averaging over the fixed label inventory (2 or 28). zero_division=0; report per-label support. Weighted uses GT support. Requires all planned outputs valid; otherwise NC with failure-aware Acc reported.,Saved predictions and released GT,specified_not_yet_validated_for_server
macro_recall,classification,Macro recall,Dreaddit; GoEmotions,up,%,Compute recall using macro averaging over the fixed label inventory (2 or 28). zero_division=0; report per-label support. Weighted uses GT support. Requires all planned outputs valid; otherwise NC with failure-aware Acc reported.,Saved predictions and released GT,specified_not_yet_validated_for_server
macro_f1,classification,Macro f1,Dreaddit; GoEmotions,up,%,Compute f1 using macro averaging over the fixed label inventory (2 or 28). zero_division=0; report per-label support. Weighted uses GT support. Requires all planned outputs valid; otherwise NC with failure-aware Acc reported.,Saved predictions and released GT,specified_not_yet_validated_for_server
weighted_precision,classification,Weighted precision,Dreaddit; GoEmotions,up,%,Compute precision using weighted averaging over the fixed label inventory (2 or 28). zero_division=0; report per-label support. Weighted uses GT support. Requires all planned outputs valid; otherwise NC with failure-aware Acc reported.,Saved predictions and released GT,specified_not_yet_validated_for_server
weighted_recall,classification,Weighted recall,Dreaddit; GoEmotions,up,%,Compute recall using weighted averaging over the fixed label inventory (2 or 28). zero_division=0; report per-label support. Weighted uses GT support. Requires all planned outputs valid; otherwise NC with failure-aware Acc reported.,Saved predictions and released GT,specified_not_yet_validated_for_server
