model_id,packet_id,synthetic_outputs,judge_ratings,integrity_gate_pass_n,integrity_gate_total,integrity_gate_rate,evidential_credibility_mean,evidential_credibility_adequacy_rate,evidential_credibility_adequacy_ci_low,evidential_credibility_adequacy_ci_high,evidential_credibility_cannot_judge_rate,evidential_credibility_adequacy_leave_self_judge_out,voice_boundary_preservation_mean,voice_boundary_preservation_adequacy_rate,voice_boundary_preservation_adequacy_ci_low,voice_boundary_preservation_adequacy_ci_high,voice_boundary_preservation_cannot_judge_rate,voice_boundary_preservation_adequacy_leave_self_judge_out,scope_calibration_mean,scope_calibration_adequacy_rate,scope_calibration_adequacy_ci_low,scope_calibration_adequacy_ci_high,scope_calibration_cannot_judge_rate,scope_calibration_adequacy_leave_self_judge_out,serious_error_rate,serious_error_ci_low,serious_error_ci_high,code_plural_reference_coverage,code_plural_reference_coverage_ci_low,code_plural_reference_coverage_ci_high,code_reference_opportunities,code_match_unanimity_rate,theme_plural_reference_coverage,theme_plural_reference_coverage_ci_low,theme_plural_reference_coverage_ci_high,theme_reference_opportunities,theme_match_unanimity_rate,evidence_source,manuscript_status
gpt-5.6-sol,syn_dreaddit_01,3,9,3,3,1.0,4.888888888888889,1.0,1.0,1.0,0.0,1.0,4.888888888888889,1.0,1.0,1.0,0.0,1.0,4.888888888888889,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,15,1.0,1.0,1.0,1.0,15,1.0,three_blinded_same_vendor_model_judges_on_entirely_fictional_packets,synthetic_measurement_pilot_not_confirmatory
gpt-5.6-sol,syn_agyw_01,3,9,3,3,1.0,4.888888888888889,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,18,1.0,0.7222222222222222,0.6666666666666666,0.8333333333333334,18,0.8888888888888888,three_blinded_same_vendor_model_judges_on_entirely_fictional_packets,synthetic_measurement_pilot_not_confirmatory
gpt-5.6-sol,syn_kodis_01,3,9,1,3,0.3333333333333333,5.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9333333333333333,0.8,1.0,15,0.9333333333333333,0.9333333333333333,0.8,1.0,15,0.8666666666666667,three_blinded_same_vendor_model_judges_on_entirely_fictional_packets,synthetic_measurement_pilot_not_confirmatory
gpt-5.6-sol,syn_candor_01,3,9,3,3,1.0,4.888888888888889,1.0,1.0,1.0,0.0,1.0,4.777777777777778,1.0,1.0,1.0,0.0,1.0,4.888888888888889,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,15,0.9333333333333333,0.8,0.8,0.8,15,0.8,three_blinded_same_vendor_model_judges_on_entirely_fictional_packets,synthetic_measurement_pilot_not_confirmatory
gpt-5.4,syn_dreaddit_01,3,9,3,3,1.0,5.0,1.0,1.0,1.0,0.0,1.0,4.888888888888889,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9333333333333333,0.8,1.0,15,0.9333333333333333,1.0,1.0,1.0,15,0.9333333333333333,three_blinded_same_vendor_model_judges_on_entirely_fictional_packets,synthetic_measurement_pilot_not_confirmatory
gpt-5.4,syn_agyw_01,3,9,3,3,1.0,4.888888888888889,1.0,1.0,1.0,0.0,1.0,4.666666666666667,0.8888888888888888,0.6666666666666666,1.0,0.0,0.8888888888888888,4.777777777777778,1.0,1.0,1.0,0.0,1.0,0.1111111111111111,0.0,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,18,0.8888888888888888,0.8333333333333334,0.8333333333333334,0.8333333333333334,18,0.8888888888888888,three_blinded_same_vendor_model_judges_on_entirely_fictional_packets,synthetic_measurement_pilot_not_confirmatory
gpt-5.4,syn_kodis_01,3,9,0,3,0.0,4.888888888888889,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,0.1111111111111111,0.0,0.3333333333333333,1.0,1.0,1.0,15,1.0,1.0,1.0,1.0,15,0.9333333333333333,three_blinded_same_vendor_model_judges_on_entirely_fictional_packets,synthetic_measurement_pilot_not_confirmatory
gpt-5.4,syn_candor_01,3,9,3,3,1.0,5.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,15,1.0,0.9333333333333333,0.8,1.0,15,0.8666666666666667,three_blinded_same_vendor_model_judges_on_entirely_fictional_packets,synthetic_measurement_pilot_not_confirmatory
gpt-5.5,syn_dreaddit_01,3,9,3,3,1.0,4.888888888888889,1.0,1.0,1.0,0.0,1.0,4.777777777777778,1.0,1.0,1.0,0.0,1.0,4.888888888888889,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9333333333333333,0.8,1.0,15,0.9333333333333333,0.9333333333333333,0.8,1.0,15,0.8666666666666667,three_blinded_same_vendor_model_judges_on_entirely_fictional_packets,synthetic_measurement_pilot_not_confirmatory
gpt-5.5,syn_agyw_01,3,9,3,3,1.0,4.888888888888889,1.0,1.0,1.0,0.0,1.0,4.777777777777778,1.0,1.0,1.0,0.0,1.0,4.888888888888889,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,18,0.9444444444444444,0.8333333333333334,0.8333333333333334,0.8333333333333334,18,0.8888888888888888,three_blinded_same_vendor_model_judges_on_entirely_fictional_packets,synthetic_measurement_pilot_not_confirmatory
