judge_model_id,packet_id,run_index,blind_id,model_id,evidential_support,quote_attribution_fidelity,voice_context_preservation,negative_case_preservation,analytic_contract_fit,codebook_usability,interpretive_usefulness,parsimony,overall_quality,serious_error_count,serious_error_flags,disposition,confidence,rationale
gpt-5.4,syn_agyw_01,1,B1,gpt-5.5,4,5,4,4,4,4,4,4,4,0,,accept,4,"Well-supported and bounded, preserving structural constraint, privacy, and the translated-time conflict with only minor overemphasis on packaging supports together."
gpt-5.4,syn_agyw_01,1,B2,gpt-5.4,5,5,5,4,5,5,5,4,5,0,,accept,4,"Most complete and useful run, preserving disagreement, uneven support, clinic privacy/timing, and the moderator clarification without overclaiming beyond the packet."
gpt-5.4,syn_agyw_01,1,B3,gpt-5.6-sol,4,5,4,4,4,4,4,4,4,0,,accept,4,"Strong evidence linkage and good boundary setting, though the final theme is narrower and slightly less useful than B2 for cross-case interpretation."
gpt-5.4,syn_agyw_01,1,B4,gpt-5.6-terra,3,5,4,3,4,4,3,4,3,0,,revise,4,"Accurate and concise, but thinner on negative cases and uncertainty around translation and leaves less interpretive coverage than the stronger runs."
gpt-5.4,syn_agyw_01,1,B5,gpt-5.6-luna,3,5,4,3,3,4,3,5,3,0,,revise,4,"Clean and concise but overly compressed into two themes, reducing coverage of disagreement, proximity-versus-usability, and the translated-metaphor uncertainty."
gpt-5.4,syn_agyw_01,2,B1,gpt-5.6-sol,4,5,4,4,4,4,4,4,4,0,,accept,4,"Sound and bounded with good preservation of exception and clarification cases, though its two-theme structure leaves disagreement and access domains somewhat compressed."
gpt-5.4,syn_agyw_01,2,B2,gpt-5.4,5,5,5,4,5,5,5,4,5,0,,accept,5,"Best balance of fidelity and usefulness, clearly separating structural disruption, tailored support, and privacy/timing without erasing the exceptional continuity case."
gpt-5.4,syn_agyw_01,2,B3,gpt-5.6-luna,2,5,3,2,3,2,2,5,2,0,,revise,4,"Quotes are accurate, but the run is too skeletal to preserve key packet tensions, especially adult blame versus participant rebuttal and the clinic-usability boundary."
gpt-5.4,syn_agyw_01,2,B4,gpt-5.5,4,5,4,3,4,4,4,4,4,0,,accept,4,"Clear and well-bounded with solid privacy and resource-gap framing, but less complete than B2 on exceptions and cross-domain nuance."
gpt-5.4,syn_agyw_01,2,B5,gpt-5.6-terra,3,5,4,3,4,4,3,4,3,0,,revise,4,"Reasonable and concise, but it underdevelops privacy and disagreement relative to the stronger runs and offers limited thematic differentiation."
