packet_id,corpus_proxy,research_question,excerpt_id,source_id,speaker_id,context,text
syn_agyw_01,agyw_focus_groups,How do these fictional focus-group participants describe disruptions and supports affecting schooling and access to youth health information during a public emergency?,AG_E01,AG_FGD_01,AG_FGD_01_P01,participant response to a question about school closure,"When classes stopped, I worked at my aunt's stall because the household needed the money. Returning was not only a decision about motivation; it meant replacing that income."
syn_agyw_01,agyw_focus_groups,How do these fictional focus-group participants describe disruptions and supports affecting schooling and access to youth health information during a public emergency?,AG_E02,AG_FGD_01,AG_FGD_01_P02,participant response in the same group,"The school reopened, but the bus fare had increased. I attended on the days my mother could spare the fare and copied notes from a friend on the other days."
syn_agyw_01,agyw_focus_groups,How do these fictional focus-group participants describe disruptions and supports affecting schooling and access to youth health information during a public emergency?,AG_E03,AG_FGD_02,AG_FGD_02_P01,translated participant response about remote lessons,"[translated] The lessons were sent to one phone shared by four people. If my mother took it to work, the lesson waited until night, after the teacher had stopped answering."
syn_agyw_01,agyw_focus_groups,How do these fictional focus-group participants describe disruptions and supports affecting schooling and access to youth health information during a public emergency?,AG_E04,AG_FGD_03,AG_FGD_03_CM01,community adult response,"Some adults said girls had lost focus during the closure. From where I stood, I thought stricter supervision would solve the problem."
syn_agyw_01,agyw_focus_groups,How do these fictional focus-group participants describe disruptions and supports affecting schooling and access to youth health information during a public emergency?,AG_E05,AG_FGD_03,AG_FGD_03_P01,participant replies to the preceding adult account,"They called it losing focus, but I was caring for two children while my cousin was ill. Supervision would not create transport money or another person to do the care."
syn_agyw_01,agyw_focus_groups,How do these fictional focus-group participants describe disruptions and supports affecting schooling and access to youth health information during a public emergency?,AG_E06,AG_FGD_04,AG_FGD_04_P01,participant response about a youth clinic,"The clinic opened during the hours I collected water and prepared supper. Missing those duties brought questions at home, so the service could be nearby and still hard to reach."
syn_agyw_01,agyw_focus_groups,How do these fictional focus-group participants describe disruptions and supports affecting schooling and access to youth health information during a public emergency?,AG_E07,AG_FGD_04,AG_FGD_04_P02,participant response in the same group,"A nurse offered a quiet appointment after the main queue. I could ask about contraception without neighbors hearing, and that privacy made me willing to return."
syn_agyw_01,agyw_focus_groups,How do these fictional focus-group participants describe disruptions and supports affecting schooling and access to youth health information during a public emergency?,AG_E08,AG_FGD_05,AG_FGD_05_P01,participant response about seeking information,"I knew the clinic had information, but I worried that an older neighbor would see me waiting and report it to my family. I asked a peer educator instead."
syn_agyw_01,agyw_focus_groups,How do these fictional focus-group participants describe disruptions and supports affecting schooling and access to youth health information during a public emergency?,AG_E09,AG_FGD_06,AG_FGD_06_P01,participant response about educational support,"Three of us met under the tree each Saturday and compared the notes we had received. None of us had every lesson, but together we could reconstruct much of the week."
syn_agyw_01,agyw_focus_groups,How do these fictional focus-group participants describe disruptions and supports affecting schooling and access to youth health information during a public emergency?,AG_E10,AG_FGD_07,AG_FGD_07_P01,participant describes a different experience,"My aunt lent me her tablet and covered the data bundles, so my schooling continued almost normally. I know that experience was not shared by several friends in my group."
syn_agyw_01,agyw_focus_groups,How do these fictional focus-group participants describe disruptions and supports affecting schooling and access to youth health information during a public emergency?,AG_E11,AG_FGD_08,AG_FGD_08_P01,translated participant response followed by moderator clarification,"[translated] I said my path became narrow. By that I meant there were fewer choices: work at home, school, and the clinic all demanded the same hours."
syn_agyw_01,agyw_focus_groups,How do these fictional focus-group participants describe disruptions and supports affecting schooling and access to youth health information during a public emergency?,AG_E12,AG_FGD_08,AG_FGD_08_MOD,moderator checks meaning rather than introducing a new claim,"When you say fewer choices, are you describing a conflict in time rather than a lack of interest?"
syn_candor_01,candor,"How do partners in these fictional everyday conversations negotiate support, understanding, and boundaries during disclosure?",CA_E01,CA_CONVERSATION_01,CA_C01_A,turn 1,"I started painting again, but I have not shown anyone because I am afraid the work looks childish."
syn_candor_01,candor,"How do partners in these fictional everyday conversations negotiate support, understanding, and boundaries during disclosure?",CA_E02,CA_CONVERSATION_01,CA_C01_B,turn 2,"What made you choose painting again, and what would feel safe enough to share first?"
syn_candor_01,candor,"How do partners in these fictional everyday conversations negotiate support, understanding, and boundaries during disclosure?",CA_E03,CA_CONVERSATION_01,CA_C01_A,turn 3,That question is easier than being told it is good. I could show you the small landscape and explain why I kept it.
syn_candor_01,candor,"How do partners in these fictional everyday conversations negotiate support, understanding, and boundaries during disclosure?",CA_E04,CA_CONVERSATION_02,CA_C02_A,turn 1,I do not know whether to leave my job. I need to say the worries aloud before I make a plan.
syn_candor_01,candor,"How do partners in these fictional everyday conversations negotiate support, understanding, and boundaries during disclosure?",CA_E05,CA_CONVERSATION_02,CA_C02_B,turn 2,You should update your resume tonight and call my manager tomorrow. That would give you options.
syn_candor_01,candor,"How do partners in these fictional everyday conversations negotiate support, understanding, and boundaries during disclosure?",CA_E06,CA_CONVERSATION_02,CA_C02_A,turn 3,"I may want those ideas later. Right now, could you listen and ask what is making the decision hard?"
syn_candor_01,candor,"How do partners in these fictional everyday conversations negotiate support, understanding, and boundaries during disclosure?",CA_E07,CA_CONVERSATION_03,CA_C03_A,turn 1,I laughed when you suggested another family trip because I pictured the last crowded car. I was also trying not to say that I do not want to go.
syn_candor_01,candor,"How do partners in these fictional everyday conversations negotiate support, understanding, and boundaries during disclosure?",CA_E08,CA_CONVERSATION_03,CA_C03_B,turn 2,"I thought the laugh meant you liked the idea. If you do not want the trip, I would rather hear that than plan around a guess."
syn_candor_01,candor,"How do partners in these fictional everyday conversations negotiate support, understanding, and boundaries during disclosure?",CA_E09,CA_CONVERSATION_03,CA_C03_A,turn 3,"Then I will say it plainly: I want time together, but not another long drive this month."
syn_candor_01,candor,"How do partners in these fictional everyday conversations negotiate support, understanding, and boundaries during disclosure?",CA_E10,CA_CONVERSATION_04,CA_C04_A,turn 1,"After I mentioned the interview, you were quiet for so long that I assumed you disapproved."
syn_candor_01,candor,"How do partners in these fictional everyday conversations negotiate support, understanding, and boundaries during disclosure?",CA_E11,CA_CONVERSATION_04,CA_C04_B,turn 2,I was quiet because I was thinking about how much work you put into it. I did not realize the silence sounded like judgment.
syn_candor_01,candor,"How do partners in these fictional everyday conversations negotiate support, understanding, and boundaries during disclosure?",CA_E12,CA_CONVERSATION_04,CA_C04_A,turn 3,"Knowing that changes the silence for me. Next time, saying that you are thinking would stop me from filling the gap myself."
syn_dreaddit_01,dreaddit,How do writers in these fictional posts describe pressures and resources that shape their current experience of stress?,DR_E01,DR_POST_01,,single fictional post,Three deadlines landed in the same week. I keep reopening my notes at two in the morning because sleeping feels like losing study time.
syn_dreaddit_01,dreaddit,How do writers in these fictional posts describe pressures and resources that shape their current experience of stress?,DR_E02,DR_POST_02,,single fictional post,"The rent went up after my shifts were cut. My sister brings dinner twice a week, which does not fix the bills but gives me one evening when I can breathe."
syn_dreaddit_01,dreaddit,How do writers in these fictional posts describe pressures and resources that shape their current experience of stress?,DR_E03,DR_POST_03,,single fictional post,"I came here expecting to be anxious, but I am not in crisis now. A fixed morning walk and turning off notifications have made this month feel ordinary."
syn_dreaddit_01,dreaddit,How do writers in these fictional posts describe pressures and resources that shape their current experience of stress?,DR_E04,DR_POST_04,,single fictional post,"I am arranging my father's appointments while trying to keep a new job. Every phone call could be from the clinic or my manager, so my shoulders never seem to drop."
syn_dreaddit_01,dreaddit,How do writers in these fictional posts describe pressures and resources that shape their current experience of stress?,DR_E05,DR_POST_05,,single fictional post,"The argument was intense, but setting a boundary ended the daily messages. I am still sad about the friendship and also relieved that my evenings are quiet again."
syn_dreaddit_01,dreaddit,How do writers in these fictional posts describe pressures and resources that shape their current experience of stress?,DR_E06,DR_POST_06,,single fictional post,"The shelter closes before my late bus arrives. I spend the afternoon planning where to keep my bag and charge my phone, so there is little attention left for anything else."
syn_dreaddit_01,dreaddit,How do writers in these fictional posts describe pressures and resources that shape their current experience of stress?,DR_E07,DR_POST_07,,single fictional post,"A door slammed at work and my body reacted before I knew what happened. The meeting was safe, yet I stayed alert for the rest of the day."
syn_dreaddit_01,dreaddit,How do writers in these fictional posts describe pressures and resources that shape their current experience of stress?,DR_E08,DR_POST_08,,single fictional post,"This post is an update to something I wrote last winter. The insurance appeal was approved, and the problem that filled every day then is no longer active."
syn_dreaddit_01,dreaddit,How do writers in these fictional posts describe pressures and resources that shape their current experience of stress?,DR_E09,DR_POST_09,,single fictional post,"I counted the pantry items twice before asking for help. The empty shelves worried me, but admitting that I needed groceries felt almost as heavy."
syn_dreaddit_01,dreaddit,How do writers in these fictional posts describe pressures and resources that shape their current experience of stress?,DR_E10,DR_POST_10,,single fictional post,"My group chat jokes about the broken elevator, and laughing together helps. It still means carrying a stroller up five floors, so the joke and the strain are both real."
syn_dreaddit_01,dreaddit,How do writers in these fictional posts describe pressures and resources that shape their current experience of stress?,DR_E11,DR_POST_11,,single fictional post,"I made a checklist for the move and finished one box at a time. The move is demanding, but having a sequence makes it feel manageable rather than overwhelming."
syn_dreaddit_01,dreaddit,How do writers in these fictional posts describe pressures and resources that shape their current experience of stress?,DR_E12,DR_POST_12,,single fictional post,"Everyone tells me the promotion is good news. I am proud of it, but being the only person who knows the old system means every question now reaches me."
syn_kodis_01,kodis,What interactional processes move these fictional buyer-seller disputes toward repair or impasse?,KO_E01,KO_DIALOGUE_01,KO_D01_BUYER,"turn 1, buyer","The blue kettle arrived, but the listing and my order both say red. I would like a replacement or a refund."
syn_kodis_01,kodis,What interactional processes move these fictional buyer-seller disputes toward repair or impasse?,KO_E02,KO_DIALOGUE_01,KO_D01_SELLER,"turn 2, seller","Please send a photograph of the label so I can compare it with the packing record. If we shipped the wrong color, I will cover the return."
syn_kodis_01,kodis,What interactional processes move these fictional buyer-seller disputes toward repair or impasse?,KO_E03,KO_DIALOGUE_01,KO_D01_BUYER,"turn 3, buyer",I sent the photograph. A prepaid return and the red kettle would resolve this for me.
