model_id,model_dir,corpus_id,packet_id,status,validation_errors,disposition,requested_expertise,confidence,serious_error_flags,output_file
gemma3:4b,gemma3_4b,goemotions,PKT_00005d167f87fb17,valid,,revise,none,4,,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_00005d167f87fb17.json
gemma3:4b,gemma3_4b,goemotions,PKT_0010ecd8fd3eca60,valid,,reject,both,3,unsupported_inference;contextual_flattening;unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_0010ecd8fd3eca60.json
gemma3:4b,gemma3_4b,goemotions,PKT_001596e290026e08,valid,,reject,both,3,unsupported_abstraction;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_001596e290026e08.json
gemma3:4b,gemma3_4b,goemotions,PKT_0017e5c3903b9ad4,valid,,reject,both,3,unsupported_inference;contextual_flattening;unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_0017e5c3903b9ad4.json
gemma3:4b,gemma3_4b,goemotions,PKT_0026a48e20161b6f,valid,,reject,both,3,unsupported_inference;unsupported_abstraction;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_0026a48e20161b6f.json
gemma3:4b,gemma3_4b,goemotions,PKT_00433099784ffadb,valid,,reject,both,4,contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_00433099784ffadb.json
gemma3:4b,gemma3_4b,goemotions,PKT_005093a0fddff098,valid,,revise,none,4,,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_005093a0fddff098.json
gemma3:4b,gemma3_4b,goemotions,PKT_0055c57ac3d69401,valid,,reject,both,3,unsupported_inference;unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_0055c57ac3d69401.json
gemma3:4b,gemma3_4b,goemotions,PKT_0056d5f31cab3583,valid,,reject,both,4,contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_0056d5f31cab3583.json
gemma3:4b,gemma3_4b,goemotions,PKT_005b67a97bcb5979,valid,,reject,both,4,contextual_flattening;unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_005b67a97bcb5979.json
