model_id,packet_id,target_flaw,route,detected,specialist_acquisitions,total_role_acquisitions,incremental_cost,total_role_cost,stop_reason,private_working_score,manuscript_eligible,dataset,corpus_id,evaluation_mode
gemma3:4b,PKT_002927260f3c7e30,unsupported_evidence,generalist,True,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
gemma3:4b,PKT_079711d0d9c35d83,counterevidence_loss,generalist,True,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
gemma3:4b,PKT_0ac0981facbf63f5,counterevidence_loss,generalist,True,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
gemma3:4b,PKT_0ccc8940cd7630e7,counterevidence_loss,generalist,False,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
gemma3:4b,PKT_0e5da0e8f05a3881,counterevidence_loss,generalist,True,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
gemma3:4b,PKT_154362b83487672e,counterevidence_loss,generalist,True,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
gemma3:4b,PKT_1b1c15a353db2043,unsupported_abstraction,generalist,True,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
gemma3:4b,PKT_1c88945fb6db2727,unsupported_evidence,generalist,True,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
gemma3:4b,PKT_1dcbc8e5d3b79b3f,source_concentration,generalist,False,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
gemma3:4b,PKT_204f2168f98db763,unsupported_abstraction,generalist,False,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
gemma3:4b,PKT_210446d17ec3dcd5,source_concentration,generalist,False,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
gemma3:4b,PKT_211ca2f2916406e7,contextual_flattening,generalist,True,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
gemma3:4b,PKT_236f92dec9f650d4,source_concentration,generalist,False,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
gemma3:4b,PKT_237a6acc932b2f92,unsupported_evidence,generalist,True,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
gemma3:4b,PKT_25549c6149f1494d,unsupported_abstraction,generalist,False,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
gemma3:4b,PKT_27b664c7cb6875c0,unsupported_evidence,generalist,False,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
gemma3:4b,PKT_28446e9c432eef08,unsupported_abstraction,generalist,True,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
gemma3:4b,PKT_303c6362968864b3,source_concentration,generalist,False,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
gemma3:4b,PKT_3290d62e739acc77,contextual_flattening,generalist,True,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
gemma3:4b,PKT_364f4f10923c99a9,contextual_flattening,generalist,True,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
llama3.1:8b,PKT_002927260f3c7e30,unsupported_evidence,both,True,2,3,2.25,3.25,both_specialists_acquired,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
llama3.1:8b,PKT_079711d0d9c35d83,counterevidence_loss,both,True,2,3,2.25,3.25,both_specialists_acquired,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
llama3.1:8b,PKT_0ac0981facbf63f5,counterevidence_loss,both,True,2,3,2.25,3.25,both_specialists_acquired,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
llama3.1:8b,PKT_0ccc8940cd7630e7,counterevidence_loss,both,True,2,3,2.25,3.25,both_specialists_acquired,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
llama3.1:8b,PKT_0e5da0e8f05a3881,counterevidence_loss,both,False,2,3,2.25,3.25,both_specialists_acquired,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
llama3.1:8b,PKT_154362b83487672e,counterevidence_loss,generalist,True,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
llama3.1:8b,PKT_1b1c15a353db2043,unsupported_abstraction,both,True,2,3,2.25,3.25,both_specialists_acquired,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
llama3.1:8b,PKT_1c88945fb6db2727,unsupported_evidence,both,False,2,3,2.25,3.25,both_specialists_acquired,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
llama3.1:8b,PKT_1dcbc8e5d3b79b3f,source_concentration,generalist,False,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
llama3.1:8b,PKT_204f2168f98db763,unsupported_abstraction,generalist,True,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
llama3.1:8b,PKT_210446d17ec3dcd5,source_concentration,generalist,False,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
llama3.1:8b,PKT_211ca2f2916406e7,contextual_flattening,both,True,2,3,2.25,3.25,both_specialists_acquired,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
llama3.1:8b,PKT_236f92dec9f650d4,source_concentration,generalist,False,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
llama3.1:8b,PKT_237a6acc932b2f92,unsupported_evidence,both,False,2,3,2.25,3.25,both_specialists_acquired,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
llama3.1:8b,PKT_25549c6149f1494d,unsupported_abstraction,both,False,2,3,2.25,3.25,both_specialists_acquired,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
llama3.1:8b,PKT_27b664c7cb6875c0,unsupported_evidence,both,False,2,3,2.25,3.25,both_specialists_acquired,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
llama3.1:8b,PKT_28446e9c432eef08,unsupported_abstraction,generalist,True,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
llama3.1:8b,PKT_303c6362968864b3,source_concentration,generalist,False,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
llama3.1:8b,PKT_3290d62e739acc77,contextual_flattening,both,False,2,3,2.25,3.25,both_specialists_acquired,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
llama3.1:8b,PKT_364f4f10923c99a9,contextual_flattening,both,True,2,3,2.25,3.25,both_specialists_acquired,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
qwen3:8b,PKT_002927260f3c7e30,unsupported_evidence,generalist,False,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
qwen3:8b,PKT_079711d0d9c35d83,counterevidence_loss,generalist,True,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
qwen3:8b,PKT_0ac0981facbf63f5,counterevidence_loss,generalist,True,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
qwen3:8b,PKT_0ccc8940cd7630e7,counterevidence_loss,generalist,True,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
qwen3:8b,PKT_0e5da0e8f05a3881,counterevidence_loss,generalist,True,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
qwen3:8b,PKT_154362b83487672e,counterevidence_loss,generalist,True,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
qwen3:8b,PKT_1b1c15a353db2043,unsupported_abstraction,generalist,True,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
qwen3:8b,PKT_1c88945fb6db2727,unsupported_evidence,generalist,False,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
qwen3:8b,PKT_1dcbc8e5d3b79b3f,source_concentration,qualitative_methods,True,1,2,1.0,2.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
qwen3:8b,PKT_204f2168f98db763,unsupported_abstraction,generalist,True,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
qwen3:8b,PKT_210446d17ec3dcd5,source_concentration,qualitative_methods,False,1,2,1.0,2.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
qwen3:8b,PKT_211ca2f2916406e7,contextual_flattening,generalist,True,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
qwen3:8b,PKT_236f92dec9f650d4,source_concentration,generalist,True,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
qwen3:8b,PKT_237a6acc932b2f92,unsupported_evidence,generalist,False,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
qwen3:8b,PKT_25549c6149f1494d,unsupported_abstraction,generalist,True,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
qwen3:8b,PKT_27b664c7cb6875c0,unsupported_evidence,generalist,False,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
qwen3:8b,PKT_28446e9c432eef08,unsupported_abstraction,generalist,True,0,1,0.0,1.0,expected_gain_below_threshold,True,False,Dreaddit,dreaddit,five_fold_out_of_fold_development
