source_path,sha256,priority,action,destination,note
my papers/2506.23998v2.pdf,c6eeed9aa4c9cedf76a0a232097998d212fef73e217d91a6d8d0f0c9574c0c91,low priority,copied,low priority/my_papers__2506.23998v2.pdf,Not selected for the 45-paper reputable-venue reading list.
my papers/2509.14597v2.pdf,140f7b98c6c8fe08646e7a671a3a171477e9dcc6988ab92b231bbd2a01bf2862,low priority,copied,low priority/my_papers__2509.14597v2.pdf,Not selected for the 45-paper reputable-venue reading list.
my papers/2509.17167v1.pdf,3d355c93240482eed19728c17d4606c30ad55c8fa7fcdb5ee9dfcad940cbe563,low priority,copied,low priority/my_papers__2509.17167v1.pdf,Not selected for the 45-paper reputable-venue reading list.
my papers/2603.08989v1.pdf,91c6c3bb015443e78bef580fd444eb79a9a056bbea014835957b5764558c1cfd,low priority,copied,low priority/my_papers__2603.08989v1.pdf,Not selected for the 45-paper reputable-venue reading list.
my papers/3828752 (1).pdf,ce769d57647ecb7548413be45f27c2748638a4966faf73988982a1f7bc20815f,MUST READ,copied,recent papers/19_2026_Yi_TAMA_ACM_TCH.pdf,Selected: relevant peer-reviewed paper in ACM Transactions on Computing for Healthcare.
research/fulltext/latest/2604.04479.pdf,356fb514accf8e6b4e691a885d33667147cba141430358314a83fab650ad59a2,low priority,copied,low priority/latest__2604.04479.pdf,Not selected for the 45-paper reputable-venue reading list.
research/fulltext/latest/2604.10834.pdf,b7b0189b602477434dc376ff38633c18004b652c1cfa346f641789e4e4aa5d79,MUST READ,copied,recent papers/01_2026_Camporese_Security_Comments_ICPC.pdf,Selected: relevant peer-reviewed paper in ICPC 2026.
research/fulltext/latest/2604.19309.pdf,82a6ff319dbbdfae1dfd8a2e3236f881b7319cc6068a76b5005e304ce991ac9f,low priority,copied,low priority/latest__2604.19309.pdf,Not selected for the 45-paper reputable-venue reading list.
research/fulltext/latest/2607.28889.pdf,41b0d9f8ab9c0e7e91f6951bfe9c3a868ae0b9c8c6f741bca74084bbdc9e9d02,low priority,copied,low priority/latest__2607.28889.pdf,Not selected for the 45-paper reputable-venue reading list.
research/fulltext/latest/2607.28890.pdf,73cc3bc0d05d3f387df6bb0f68e146d54d6694ec15b9b52c3c8c495741a9b547,low priority,copied,low priority/latest__2607.28890.pdf,Not selected for the 45-paper reputable-venue reading list.
research/fulltext/latest/chen_2026_open_codes.pdf,19a34682239bb8bdfea431b38148b5f2ed1a8b87420e92535a0ff53031d9df5d,MUST READ,copied,recent papers/02_2026_Chen_Open_Code_Metrics_ACL.pdf,Selected: relevant peer-reviewed paper in Findings of ACL 2026.
research/fulltext/latest/education_2026_inductive_coding.pdf,ff65d035890ff81a084eda6ef6373757df499cb2dc850f89d40ffb4dfc4cb9ff,MUST READ,copied,recent papers/03_2026_Dorfel_Inductive_Coding_Education_Sciences.pdf,Selected: relevant peer-reviewed paper in Education Sciences.
research/fulltext/latest/gatos_2026.pdf,28e6b30b72aa52129c62fffbfa81070733069fc38f25744d4b0cddc91b56e02d,MUST READ,copied,recent papers/04_2026_Katz_GATOS_HSSC.pdf,Selected: relevant peer-reviewed paper in Humanities and Social Sciences Communications.
research/fulltext/latest/kempny_2026_scoping_review.pdf,905f7f18916ea887cbfb56980171c232162fc272ca483190c97bd56f8035bc27,low priority,copied,low priority/latest__kempny_2026_scoping_review.pdf,Not selected for the 45-paper reputable-venue reading list.
research/fulltext/latest/matveyenko_2026_muse.pdf,ae33b7ffadbca1d5e1af179693cfa81ca3a7bb22c7dfc063e66a6e08ffde0bf4,MUST READ,copied,recent papers/05_2026_Matveyenko_Muse_ACL.pdf,Selected: relevant peer-reviewed paper in ACL 2026 Industry Track.
research/fulltext/latest/wang_2026_centaurta.pdf,f3134f3e452f3af1854b2bff6533bf5cf8ee5b1dbdd0024f5b9ad729ca0b2877,MUST READ,copied,recent papers/06_2026_Wang_CentaurTA_ACL.pdf,Selected: relevant peer-reviewed paper in Findings of ACL 2026.
research/fulltext/latest/zhu_2026_trauma.pdf,f1e26c056a807174f67bf7816a7c51bee9b75c564596e9f44231f0d88f9ca00e,MUST READ,copied,recent papers/07_2026_Zhu_Trauma_ACL.pdf,Selected: relevant peer-reviewed paper in Findings of ACL 2026.
research/fulltext/screening_2020_2024/2102.03702.pdf,92ff5dcc4f5bd5f248f02e0461b96b95512aaeb34d242c2cd4966ac7afa26a0d,low priority,copied,low priority/screening_2020_2024__2102.03702.pdf,Not selected for the 45-paper reputable-venue reading list.
research/fulltext/screening_2020_2024/2304.07366.pdf,5d50fe7f7cfc5a730d77b5d911f5a81a0dfd45844d9f12ed6499c80224c06c07,MUST READ,copied,recent papers/08_2024_Gao_CollabCoder_CHI.pdf,Selected: relevant peer-reviewed paper in CHI 2024.
research/fulltext/screening_2020_2024/2305.13014.pdf,7913af6ccc2d0b1f04e06345584a873e4dee9e118269db32d2517c0c17626024,MUST READ,copied,recent papers/09_2024_De_Paoli_Inductive_Thematic_Analysis_SSCR.pdf,Selected: relevant peer-reviewed paper in Social Science Computer Review.
research/fulltext/screening_2020_2024/2305.18099.pdf,725f7262d43da1629361e46acec3488f37c814e4053dc2f697226c3e61a586e3,low priority,copied,low priority/screening_2020_2024__2305.18099.pdf,Not selected for the 45-paper reputable-venue reading list.
research/fulltext/screening_2020_2024/2309.10771.pdf,6841892a6c5cfc292edf56663923c80eb1fb962587ac6ac0d2c88576d3ad6cc5,low priority,copied,low priority/screening_2020_2024__2309.10771.pdf,Not selected for the 45-paper reputable-venue reading list.
research/fulltext/screening_2020_2024/2309.17447.pdf,f9b81ec481090b449a1fc2d998222346e05c31dc31fe2f8b089d60d4146d07fd,MUST READ,copied,recent papers/11_2024_Parker_Educational_Survey_Feedback_IJAIED.pdf,Selected: relevant peer-reviewed paper in International Journal of Artificial Intelligence in Education.
research/fulltext/screening_2020_2024/2310.06391.pdf,2556afd7e26eeea0be07464ded24d63e2818534864e99eb6fbab8ba38b6ff573,low priority,copied,low priority/screening_2020_2024__2310.06391.pdf,Not selected for the 45-paper reputable-venue reading list.
research/fulltext/screening_2020_2024/2310.07061.pdf,7fa62ea20b873be73714ee6b855f948656d94aa5151ddc5f9490cccddc9b54b2,low priority,copied,low priority/screening_2020_2024__2310.07061.pdf,Not selected for the 45-paper reputable-venue reading list.
research/fulltext/screening_2020_2024/2401.03239.pdf,5e7bba2804aa1758ff133d174ff00e19a68e6649f0079fd20ed38beb0fcc4344,low priority,copied,low priority/screening_2020_2024__2401.03239.pdf,Not selected for the 45-paper reputable-venue reading list.
research/fulltext/screening_2020_2024/2401.03481.pdf,61b92a036342f5b2a5dcfaf78adaaa8a92940a58206c5dd0e3d3b88ab2620676,low priority,copied,low priority/screening_2020_2024__2401.03481.pdf,Not selected for the 45-paper reputable-venue reading list.
research/fulltext/screening_2020_2024/2401.04138.pdf,cfd5ef6f017b32b4298a980f09ab7f8d0379db04456cb3c4548a02a0d067719a,low priority,copied,low priority/screening_2020_2024__2401.04138.pdf,Not selected for the 45-paper reputable-venue reading list.
research/fulltext/screening_2020_2024/2401.15170.pdf,cce0a545c34a23459b04e9a541b78ceb05c76130099777765c56e8e0e9368f03,low priority,copied,low priority/screening_2020_2024__2401.15170.pdf,Not selected for the 45-paper reputable-venue reading list.
research/fulltext/screening_2020_2024/2402.01386.pdf,874cc8ab3c5c760ad09c581ecef1640eebb85f5fa3dd9ecc727c6de8d22c0caa,low priority,copied,low priority/screening_2020_2024__2402.01386.pdf,Not selected for the 45-paper reputable-venue reading list.
research/fulltext/screening_2020_2024/2404.08488.pdf,3470a02183c2907331d518b53d73540339fc229a5654d3b249eb7fceb0835b9a,low priority,copied,low priority/screening_2020_2024__2404.08488.pdf,Not selected for the 45-paper reputable-venue reading list.
research/fulltext/screening_2020_2024/2405.05758.pdf,7ac5136b2f0181e4c8e6d64070b200e54fb6d03bf36e2b78a46e2c86813a693e,MUST READ,copied,recent papers/12_2026_Meng_Human_LLM_Synergy_TOCHI.pdf,Selected: relevant peer-reviewed paper in ACM TOCHI.
research/fulltext/screening_2020_2024/2405.06919.pdf,9e583c0c76f978a4516c447b1fb85b3d85eddc7e900b3c8eaa72385b69a42420,low priority,copied,low priority/screening_2020_2024__2405.06919.pdf,Not selected for the 45-paper reputable-venue reading list.
research/fulltext/screening_2020_2024/2407.14925.pdf,307cc55f2d91205071cd189756a5ef282612319b14a76de7791ea29cc60faa24,low priority,copied,low priority/screening_2020_2024__2407.14925.pdf,Not selected for the 45-paper reputable-venue reading list.
research/fulltext/screening_2020_2024/2408.05126.pdf,51732f58ac401efaf2209bb7af2e7b4e98107839edc8651d1cfa0ff7648f6fbc,low priority,copied,low priority/screening_2020_2024__2408.05126.pdf,Not selected for the 45-paper reputable-venue reading list.
research/fulltext/screening_2020_2024/FC_prompting_panacea_edm2024.pdf,0ba338b0cd6a12f6b4f7e9789d781999e6a479170e11105272e962c617f3c221,MUST READ,copied,recent papers/13_2024_Ganesh_Prompting_as_Panacea_EDM.pdf,Selected: relevant peer-reviewed paper in EDM 2024.
research/fulltext/screening_2020_2024/TA-0901_repository.pdf,ab4752f0f5660e8132560c5246ce55950b534d8a00fa297fd58b05953e2ee042,MUST READ,copied,recent papers/14_2024_Liu_Potential_and_Limits_ICQE.pdf,Selected: relevant peer-reviewed paper in Advances in Quantitative Ethnography.
research/fulltext/screening_2020_2024/TA-0921_openalex.pdf,4472753fa89349cda28c9ad19e448062834ceb9327aad7c620fc41ec58dbb972,low priority,copied,low priority/screening_2020_2024__TA-0921_openalex.pdf,Not selected for the 45-paper reputable-venue reading list.
research/fulltext/screening_2020_2024/TA-0929_fischer-etal-2024-concept.pdf,3bcf06b9c7feaf5ef18643e34d315c7372a98afcab6c4921a25fe0f027081a5e,low priority,copied,low priority/screening_2020_2024__TA-0929_fischer-etal-2024-concept.pdf,Not selected for the 45-paper reputable-venue reading list.
research/fulltext/screening_2020_2024/TA-0954_fischer-biemann-2024-exploring.pdf,055bf3a557d5c9e671f48f795fc94dbb82ce5316c551543d79c74695248b3afc,MUST READ,copied,recent papers/15_2024_Fischer_Exploring_LLMs_for_QDA_NLP4DH.pdf,Selected: relevant peer-reviewed paper in NLP4DH 2024.
research/fulltext/screening_2020_2024/TA-0965_2406.00020v2.pdf,e9fcb869a9a624168195a29f4a9b4d9d3b290fe61807a0547f610e635c4e20e4,low priority,copied,low priority/screening_2020_2024__TA-0965_2406.00020v2.pdf,Not selected for the 45-paper reputable-venue reading list.
research/fulltext/screening_2020_2024/TA-0995_2412.14486v1.pdf,cd60c77b859d4784c4463aeee482755a365a1a67035fe734bcbcf2ed15c0737d,low priority,copied,low priority/screening_2020_2024__TA-0995_2412.14486v1.pdf,Not selected for the 45-paper reputable-venue reading list.
research/fulltext/screening_2020_2024/TA-1003_2409.17455v1.pdf,60d4d9219b26c2944369d04b5ada7019e3969c7f0362250cf916c891b8508e45,low priority,copied,low priority/screening_2020_2024__TA-1003_2409.17455v1.pdf,Not selected for the 45-paper reputable-venue reading list.
research/fulltext/screening_2020_2024/TA-1036_2407.01270v2.pdf,d9ff09feb48441aebc7d24775d1becc73a16e4709f566684d86da013e0c39fa9,low priority,copied,low priority/screening_2020_2024__TA-1036_2407.01270v2.pdf,Not selected for the 45-paper reputable-venue reading list.
research/fulltext/screening_2020_2024/TA-1096_repository.pdf,b22b8cc6b091925efc27cc6cfb484d08efc1459564a1070ee2696fdb0b083818,low priority,copied,low priority/screening_2020_2024__TA-1096_repository.pdf,Not selected for the 45-paper reputable-venue reading list.
research/fulltext/screening_2020_2024/TA-1114_repository.pdf,5eff85ab42591fdf3ed830d56aac1591ea9a42526c919a932ea898749ebf5386,MUST READ,copied,recent papers/16_2023_Spinoso_Qualitative_Code_Suggestion_EMNLP.pdf,Selected: relevant peer-reviewed paper in Findings of EMNLP 2023.
research/fulltext/screening_2020_2024/TA-1288_openalex.pdf,b2c6b571dc7df596595c40b8cd9b6d8c34f94630db543a99609b7ee0e3d1975e,low priority,copied,low priority/screening_2020_2024__TA-1288_openalex.pdf,Not selected for the 45-paper reputable-venue reading list.
