dataset,metric_id,metric_profile_id,metric_condition_id,applicability,definition_variant,evaluation_reference,label_count,positive_label,denominator_basis,phase_method_restriction,prerequisite_or_reason,implementation_status
dreaddit,accuracy,D-STRESS-v1,D-STRESS-v1/accuracy/dataset-metric-conditions-v1,applicable,binary_exact_label,released_stress_labels,2,stress=1,100 planned items,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,accuracy,G-EMOTION28-v1,G-EMOTION28-v1/accuracy/dataset-metric-conditions-v1,applicable,exact_full_label_set,released_emotion_label_sets,28,,100 planned items,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,accuracy,C-CODING-v1,C-CODING-v1/accuracy/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
parlamint_gb,accuracy,P-CODING-v1,P-CODING-v1/accuracy/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
dreaddit,valid_accuracy,D-STRESS-v1,D-STRESS-v1/valid_accuracy/dataset-metric-conditions-v1,applicable,binary_exact_label,released_stress_labels,2,stress=1,valid parsed predictions (diagnostic),All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,valid_accuracy,G-EMOTION28-v1,G-EMOTION28-v1/valid_accuracy/dataset-metric-conditions-v1,applicable,exact_full_label_set,released_emotion_label_sets,28,,valid parsed predictions (diagnostic),All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,valid_accuracy,C-CODING-v1,C-CODING-v1/valid_accuracy/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
parlamint_gb,valid_accuracy,P-CODING-v1,P-CODING-v1/valid_accuracy/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
dreaddit,micro_precision,D-STRESS-v1,D-STRESS-v1/micro_precision/dataset-metric-conditions-v1,applicable,binary_stress__micro_precision,released_stress_labels,2,stress=1,Compute precision using micro averaging over the fixed label inventory (2 or 28). zero_division=0; report per-label support. Weighted uses GT support. Requires all planned outputs valid; otherwise NC with failure-aware Acc reported.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,micro_precision,G-EMOTION28-v1,G-EMOTION28-v1/micro_precision/dataset-metric-conditions-v1,applicable,multilabel_emotion__micro_precision,released_emotion_label_sets,28,,Compute precision using micro averaging over the fixed label inventory (2 or 28). zero_division=0; report per-label support. Weighted uses GT support. Requires all planned outputs valid; otherwise NC with failure-aware Acc reported.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
