source_file,bytes,sha256,records_parsed,parse_errors
gpt-5.4_run1.jsonl,64855,9776051dfcac6905d0cdedbee90cbe2eede4c6bce4b53c6889100caa5171aa04,4,0
gpt-5.4_run2.jsonl,59365,bd23a7ea3b163621fadfb26282a37be451014afc37977fae5b93305f72cfab20,4,0
gpt-5.4_run3.jsonl,56349,f9ddf4e77b4324264fa750f056d6239c26fc8aec09972ded23fe93b4f67a3b34,4,0
gpt-5.5_run1.jsonl,60406,406a9c27e1c8c26c54895efe7aca7e2cfe32791c3c1c64622b9d3f96f64006ad,4,0
gpt-5.5_run2.jsonl,47871,aca0bbe76e909a17f24cc9518b02a7bc92fe56b9c370a746e268fc5aed41ed38,4,0
gpt-5.5_run3.jsonl,56453,a8d8452a0f187c88bae4b69bca07f4fd2c99cd0c17928c112513c8b12e2c8d68,4,0
gpt-5.6-luna_run1.jsonl,38251,b6673c7f060a352f5b4950e13f97671a3106e88ce338b230015e8327e56fe07b,4,0
gpt-5.6-luna_run2.jsonl,27658,68b91140bb0de49802a54fcdc56f8a4d6a1415d07999f89c85cd206ac76f9685,4,0
gpt-5.6-luna_run3.jsonl,29613,c695ed152d5e5ca0d8e1f49325cfcdbcac4a4e0fbfb312a4b1195c10e4a5e9cb,4,0
gpt-5.6-sol_run1.jsonl,52397,1b7bf30c6633f8aa47a825ec1a4010d22f77b3bfe8e17d2a3ff843d627684267,4,0
gpt-5.6-sol_run2.jsonl,44925,495c69bb80fd711782f0c2f9e03dde2b06b2c5fa61fecc3a3ddd58fb0bb566fb,4,0
gpt-5.6-sol_run3.jsonl,48460,65fff6533b38daee8669ab47a81a8b8ba032ae8882d68a1753d284956ce308ef,4,0
gpt-5.6-terra_run1.jsonl,46104,b8d8223d39953ab238840e31def1692ba3fcc994cd8b92181b9f57f7e28e4bf3,4,0
gpt-5.6-terra_run2.jsonl,35567,f1ca6ef11b9ed57e8a348ccfe0b0636713efcb156547fdf2c909693c6e50a460,4,0
gpt-5.6-terra_run3.jsonl,40415,6b775c85be0e42bc563c47a84ffc9a16b3db972a9c23c985bbd146b34f682af2,4,0
