corpus_id,method,model_id,flaw_type,tp,n,tp_over_n,recall,credibility_success_rate,conformability_success_rate,quality_judge_valid_n
goemotions,All roles,gemma3:4b,ALL,80,100,80/100,0.8,,,
goemotions,All roles,gemma3:4b,contextual_flattening,20,20,20/20,1.0,,,
goemotions,All roles,gemma3:4b,counterevidence_loss,5,20,5/20,0.25,,,
goemotions,All roles,gemma3:4b,source_concentration,15,20,15/20,0.75,,,
goemotions,All roles,gemma3:4b,unsupported_abstraction,20,20,20/20,1.0,,,
goemotions,All roles,gemma3:4b,unsupported_evidence,20,20,20/20,1.0,,,
goemotions,All roles,llama3.1:8b,ALL,77,100,77/100,0.77,,,
goemotions,All roles,llama3.1:8b,contextual_flattening,20,20,20/20,1.0,,,
goemotions,All roles,llama3.1:8b,counterevidence_loss,16,20,16/20,0.8,,,
goemotions,All roles,llama3.1:8b,source_concentration,2,20,2/20,0.1,,,
goemotions,All roles,llama3.1:8b,unsupported_abstraction,19,20,19/20,0.95,,,
goemotions,All roles,llama3.1:8b,unsupported_evidence,20,20,20/20,1.0,,,
goemotions,All roles,qwen3:8b,ALL,91,100,91/100,0.91,,,
goemotions,All roles,qwen3:8b,contextual_flattening,20,20,20/20,1.0,,,
goemotions,All roles,qwen3:8b,counterevidence_loss,20,20,20/20,1.0,,,
goemotions,All roles,qwen3:8b,source_concentration,20,20,20/20,1.0,,,
goemotions,All roles,qwen3:8b,unsupported_abstraction,20,20,20/20,1.0,,,
goemotions,All roles,qwen3:8b,unsupported_evidence,11,20,11/20,0.55,,,
goemotions,Fixed role,gemma3:4b,ALL,79,100,79/100,0.79,,,
goemotions,Fixed role,gemma3:4b,contextual_flattening,20,20,20/20,1.0,,,
goemotions,Fixed role,gemma3:4b,counterevidence_loss,4,20,4/20,0.2,,,
goemotions,Fixed role,gemma3:4b,source_concentration,15,20,15/20,0.75,,,
goemotions,Fixed role,gemma3:4b,unsupported_abstraction,20,20,20/20,1.0,,,
goemotions,Fixed role,gemma3:4b,unsupported_evidence,20,20,20/20,1.0,,,
goemotions,Fixed role,llama3.1:8b,ALL,37,100,37/100,0.37,,,
goemotions,Fixed role,llama3.1:8b,contextual_flattening,16,20,16/20,0.8,,,
goemotions,Fixed role,llama3.1:8b,counterevidence_loss,5,20,5/20,0.25,,,
goemotions,Fixed role,llama3.1:8b,source_concentration,0,20,0/20,0.0,,,
goemotions,Fixed role,llama3.1:8b,unsupported_abstraction,5,20,5/20,0.25,,,
goemotions,Fixed role,llama3.1:8b,unsupported_evidence,11,20,11/20,0.55,,,
goemotions,Fixed role,qwen3:8b,ALL,81,100,81/100,0.81,,,
goemotions,Fixed role,qwen3:8b,contextual_flattening,20,20,20/20,1.0,,,
goemotions,Fixed role,qwen3:8b,counterevidence_loss,18,20,18/20,0.9,,,
goemotions,Fixed role,qwen3:8b,source_concentration,20,20,20/20,1.0,,,
goemotions,Fixed role,qwen3:8b,unsupported_abstraction,20,20,20/20,1.0,,,
goemotions,Fixed role,qwen3:8b,unsupported_evidence,3,20,3/20,0.15,,,
goemotions,Generalist,gemma3:4b,ALL,61,100,61/100,0.61,,,
goemotions,Generalist,gemma3:4b,contextual_flattening,19,20,19/20,0.95,,,
goemotions,Generalist,gemma3:4b,counterevidence_loss,2,20,2/20,0.1,,,
goemotions,Generalist,gemma3:4b,source_concentration,0,20,0/20,0.0,,,
goemotions,Generalist,gemma3:4b,unsupported_abstraction,20,20,20/20,1.0,,,
goemotions,Generalist,gemma3:4b,unsupported_evidence,20,20,20/20,1.0,,,
goemotions,Generalist,llama3.1:8b,ALL,59,100,59/100,0.59,,,
goemotions,Generalist,llama3.1:8b,contextual_flattening,12,20,12/20,0.6,,,
goemotions,Generalist,llama3.1:8b,counterevidence_loss,14,20,14/20,0.7,,,
goemotions,Generalist,llama3.1:8b,source_concentration,1,20,1/20,0.05,,,
goemotions,Generalist,llama3.1:8b,unsupported_abstraction,18,20,18/20,0.9,,,
goemotions,Generalist,llama3.1:8b,unsupported_evidence,14,20,14/20,0.7,,,
goemotions,Generalist,qwen3:8b,ALL,79,100,79/100,0.79,,,
goemotions,Generalist,qwen3:8b,contextual_flattening,20,20,20/20,1.0,,,
goemotions,Generalist,qwen3:8b,counterevidence_loss,20,20,20/20,1.0,,,
goemotions,Generalist,qwen3:8b,source_concentration,14,20,14/20,0.7,,,
goemotions,Generalist,qwen3:8b,unsupported_abstraction,20,20,20/20,1.0,,,
goemotions,Generalist,qwen3:8b,unsupported_evidence,5,20,5/20,0.25,,,
