ledger_type,source_path,preferred_source_path,paper_id,title,decision,reason,sha256
exact_duplicate_paths,tmp/pdfs/centaurta2026.pdf,research/fulltext/latest/wang_2026_centaurta.pdf,centaurta_2026,,,,f3134f3e452f3af1854b2bff6533bf5cf8ee5b1dbdd0024f5b9ad729ca0b2877
exact_duplicate_paths,tmp/pdfs/chen2026.pdf,research/fulltext/latest/chen_2026_open_codes.pdf,chen_2026_open_code_metrics,,,,19a34682239bb8bdfea431b38148b5f2ed1a8b87420e92535a0ff53031d9df5d
explicit_publication_family_omissions,research/fulltext/screening_2020_2024/2310.07061.pdf,research/fulltext/screening_2020_2024/2407.14925.pdf,zhang_2024_qualigpt,,,earlier QualiGPT family version; later local manuscript preferred,7fa62ea20b873be73714ee6b855f948656d94aa5151ddc5f9490cccddc9b54b2
full_text_exclusions_or_nonretained_paths,research/fulltext/screening_2020_2024/2305.18099.pdf,,,,exclude_after_full_text,user-persona generation rather than retained qualitative-analysis evidence,725f7262d43da1629361e46acec3488f37c814e4053dc2f697226c3e61a586e3
full_text_exclusions_or_nonretained_paths,research/fulltext/screening_2020_2024/2310.06391.pdf,,,,exclude_after_full_text,user-persona generation rather than target qualitative-analysis evidence,2556afd7e26eeea0be07464ded24d63e2818534864e99eb6fbab8ba38b6ff573
full_text_exclusions_or_nonretained_paths,research/fulltext/screening_2020_2024/TA-0921_openalex.pdf,,,,exclude_after_full_text,substantive clinician-ethics thematic study without target computational-method contribution,4472753fa89349cda28c9ad19e448062834ceb9327aad7c620fc41ec58dbb972
full_text_exclusions_or_nonretained_paths,research/fulltext/screening_2020_2024/TA-0929_fischer-etal-2024-concept.pdf,,,,exclude_after_full_text,concept-over-time/topic-style false friend,3bcf06b9c7feaf5ef18643e34d315c7372a98afcab6c4921a25fe0f027081a5e
full_text_exclusions_or_nonretained_paths,research/fulltext/screening_2020_2024/TA-0965_2406.00020v2.pdf,,,,exclude_after_full_text,harmful-speech bias false friend,e9fcb869a9a624168195a29f4a9b4d9d3b290fe61807a0547f610e635c4e20e4
full_text_exclusions_or_nonretained_paths,research/fulltext/screening_2020_2024/TA-0995_2412.14486v1.pdf,,,,exclude_after_full_text,topic-modeling comparison false friend,cd60c77b859d4784c4463aeee482755a365a1a67035fe734bcbcf2ed15c0737d
full_text_exclusions_or_nonretained_paths,research/fulltext/screening_2020_2024/TA-1003_2409.17455v1.pdf,,,,exclude_after_full_text,shortcut-learning text-classification false friend,60d4d9219b26c2944369d04b5ada7019e3969c7f0362250cf916c891b8508e45
full_text_exclusions_or_nonretained_paths,research/fulltext/screening_2020_2024/TA-1036_2407.01270v2.pdf,,,,exclude_after_full_text,open-ended generation bias false friend,d9ff09feb48441aebc7d24775d1becc73a16e4709f566684d86da013e0c39fa9
full_text_exclusions_or_nonretained_paths,research/fulltext/screening_2020_2024/TA-1316_openalex.pdf,,,,earlier_version_family_of_nonretained_record,global-news topic/sentiment analysis outside retained scope,ca611f16f71a0040f154a4713748861b816af4891461fd6f17eed537ca425683
full_text_exclusions_or_nonretained_paths,research/fulltext/screening_2020_2024/TA-1317_openalex.pdf,,,,exclude_after_full_text,global-news topic/sentiment analysis outside retained scope,01728c5b41073c48bd5473398edbdc6f83ba1996c518c52815d4651775709540
full_text_exclusions_or_nonretained_paths,research/fulltext/screening_2020_2024/TA-1339_openalex.pdf,,,,exclude_after_full_text,substantive agenda study without target computational-method contribution,a634a590e3aa1c6b467f79a7421a21ff34e15f03c79a5136fff3c082c4b81d02
full_text_exclusions_or_nonretained_paths,research/fulltext/screening_2020_2024/TA-1354_openalex.pdf,,,,not_retained_after_year_handoff,sample-efficient sentiment analysis outside final retained master,863951b68f367ade80b7d1b72e9d8e274ff99483f70622845beadb9059b1fe88
full_text_exclusions_or_nonretained_paths,research/fulltext/second_pass_2026/FC-08_2603.01930.pdf,,,,exclude_after_full_text,narrative-graph annotation false friend,e126998ab632811c2bd28fb6e7e020ab4ab12a1097b35ebf9b0cdf9dafd50ece
full_text_exclusions_or_nonretained_paths,research/fulltext/second_pass_2026/TA-0008_2603.00399.pdf,,,,exclude_after_full_text,bibliometric engineering-conference analysis false friend,8d546e6a609f59a4953c6821c31a48a2da420c06b82ada29dc0eb6d621e440ab
full_text_exclusions_or_nonretained_paths,research/fulltext/second_pass_2026/TA-0047_2605.04491.pdf,,,,exclude_after_full_text,Roblox safety-moderation evaluation false friend,c5fe778a29757c2391ea6f9653c8502b64e46487d2bde5d646252ac84536af97
full_text_exclusions_or_nonretained_paths,research/fulltext/second_pass_2026/TA-0276_publisher.pdf,,,,not_retrieved_after_attempts,PDF content is not a usable copy of the screened social-justice coding paper,908917c39205d5bc335b479a915a986d809ab92b1666d82d3e873df1d9b554b2
invalid_download_or_nonpaper_stubs,research/fulltext/second_pass_2026/FC-04_springer.pdf,,,,,"filename has .pdf extension but artifact is HTML, an error/download stub, or otherwise not a usable paper PDF",32ed63159c77e21ee19ca1b9aa3213ccf0218eb59539560b132a8e68ef0e18ea
invalid_download_or_nonpaper_stubs,research/fulltext/second_pass_2026/TA-0016_doi.pdf,,,,,"filename has .pdf extension but artifact is HTML, an error/download stub, or otherwise not a usable paper PDF",15a1a39fd93a86ee910d3590572ba74a2e6c4bf882acd96b757d5eaf67beed0c
invalid_download_or_nonpaper_stubs,research/fulltext/second_pass_2026/TA-0016_ios.pdf,,,,,"filename has .pdf extension but artifact is HTML, an error/download stub, or otherwise not a usable paper PDF",0da88524ecc5601feb57eb24d63dd0f38b72c627e19a0562700124f9fc75c10d
invalid_download_or_nonpaper_stubs,research/fulltext/second_pass_2026/TA-0029_bmc.pdf,,,,,"filename has .pdf extension but artifact is HTML, an error/download stub, or otherwise not a usable paper PDF",32ed63159c77e21ee19ca1b9aa3213ccf0218eb59539560b132a8e68ef0e18ea
invalid_download_or_nonpaper_stubs,research/fulltext/second_pass_2026/TA-0029_bmc_counter.pdf,,,,,"filename has .pdf extension but artifact is HTML, an error/download stub, or otherwise not a usable paper PDF",32ed63159c77e21ee19ca1b9aa3213ccf0218eb59539560b132a8e68ef0e18ea
invalid_download_or_nonpaper_stubs,research/fulltext/second_pass_2026/TA-0175_doi.pdf,,,,,"filename has .pdf extension but artifact is HTML, an error/download stub, or otherwise not a usable paper PDF",840da698befb3ecf36876a684e47314e9fa071fd66bdc2bac1d8ac908eb55f0a
