packet_id,run_index,blind_id,analysis_summary,codes,themes,negative_cases,uncertainties,alternative_interpretations,limitations,bundle_file
syn_agyw_01,1,B1,"In these fictional focus-group excerpts, participants describe school and youth health access as shaped by household labor, income replacement, transport and data costs, shared devices, clinic timing, privacy concerns, and peer or family supports. The packet also includes an adult interpretation centered on lost focus and supervision, which is challenged by participant accounts of structural time and resource conflicts.","C01 Income Replacement Burden: School participation is constrained by the need to earn or replace household income.
C02 Care And Domestic Time Conflict: Education or clinic access competes with caregiving, water collection, supper preparation, or other household labor.
C03 Shared Digital Access Constraint: Remote schooling depends on scarce or shared devices, data, or delayed teacher contact.
C04 Privacy-Sensitive Health Access: Access to youth health information or services is shaped by privacy, neighbor visibility, or confidential timing.
C05 Proximity Does Not Equal Access: A nearby or reopened institution remains difficult to use because timing, duties, or costs conflict with attendance.
C06 Peer Or Family Resource: Peers or relatives provide notes, devices, data, money, information, or collaborative learning support.
C07 Motivation Framing Challenged: An account frames disruption as lost focus or supervision, and participant evidence redirects explanation toward constraints.","T01 Access Barriers Are Practical Rather Than Merely Motivational: Across these excerpts, disruptions to schooling and clinic use are repeatedly described through money, time, care, and service-timing constraints rather than lack of interest alone.
T02 Support Works Through Specific Access Channels: Supports are described as effective when they address a concrete bottleneck such as notes, devices, data, fare, privacy, or information routing.
T03 Uneven Continuity Is Explicitly Preserved: The packet includes a minority account of near-normal schooling, but that account itself marks continuity as unevenly distributed.","AG_E04: This is a contrasting adult interpretation that could overemphasize motivation if read without participant rebuttals.
AG_E10: Not every excerpt describes severe disruption; some support enabled continuity.
AG_E12: The moderator's question preserves uncertainty about whether time conflict or interest is being described.","The packet includes translated excerpts, so analysis should not infer nuance beyond the supplied English text.
Some supports are described in one sentence, limiting certainty about duration or reliability.
The adult account may reflect a viewpoint in the group, but the packet does not establish how widely it was held.","AG_E04 could be analyzed as community concern rather than blame, though the supervision solution contrasts with participant constraints.
AG_E06 could be primarily a household accountability issue rather than clinic access; the clinic-hours conflict supports both readings.
AG_E10 may represent exceptional support or simply a different household situation, but the speaker directly says friends did not share it.","The excerpts are fictional and cannot support claims about real AGYW experiences.
Speaker IDs are stable only within source groups, so cross-group identity continuity cannot be inferred.
The analysis does not use any outside public-emergency facts or prevalence assumptions.",syn_agyw_01_run1.json
syn_agyw_01,1,B2,"In these fictional focus-group excerpts, participants describe schooling and youth health access as disrupted mainly by income loss, transport and device constraints, domestic labor, and privacy risks. Support appears through peers, relatives, and service adaptations, but the packet also preserves contestation over whether disruption should be understood as lost motivation or as constrained choices.","C01 Schooling versus income tradeoff: Continuing or returning to school is described as competing with earning or replacing household income.
C02 Infrastructure access constraint: Transport, device sharing, connectivity, or service logistics block or delay access.
C03 Care and domestic time conflict: Care work or household duties compete with school or clinic access.
C04 Motivation frame contested: A participant or other speaker frames disruption as lost focus or motivation, and that framing is challenged or clarified.
C05 Privacy and social surveillance concern: Seeking health information is shaped by fear of being seen, overheard, or reported.
C06 Peer or family workaround support: Peers, friends, or relatives provide alternate means to continue learning or seek information.
C07 Service adaptation increases reach: A provider changes timing or conditions in a way that makes access more possible.","T01 Participants frame disruption as constrained choices, not simple disinterest: In these excerpts, participants largely describe school and service disruption as the product of constrained choices around money, time, and responsibilities rather than a lack of motivation.
T02 Support is patchy, interpersonal, and unequal: Support for continued schooling and information access appears as patchwork help from peers, relatives, and occasional providers, with unequal reach across participants.
T03 Health information access depends on privacy and timing as much as proximity: For youth health information in these excerpts, access is shaped not just by whether a clinic exists nearby but by privacy conditions and whether service hours collide with domestic obligations.
T04 The group interaction preserves disagreement over how to interpret disruption: The packet does not present a single agreed explanation for disruption; instead, it stages disagreement between a moralized focus narrative and participant accounts of structural constraint.","AG_E10: Complicates any claim that disruption was universal across the packet.
AG_E04: Provides a competing interpretation centered on supervision and motivation.
AG_E07: Shows that service adaptation can reverse avoidance rather than access being fixedly blocked.","AG_E04 is a community adult account, and the packet does not indicate how widely that view is shared within the group.
AG_E10 may reflect exceptional household resources, but the excerpt does not specify whether those resources were stable over time.
Some excerpts concern schooling, others health information, and the overlap between these domains is partial rather than complete.","AG_E08 could be read as prioritizing trusted peer communication, not only avoiding surveillance.
AG_E11's phrase about a narrowed path might also signal emotional compression, though the moderator steers interpretation toward time conflict.
AG_E02 may reflect intermittent attendance strategy rather than straightforward exclusion from school.","Speaker IDs are stable only within each focus group, limiting cross-group person-level interpretation.
Several excerpts are translated, so fine-grained wording choices may reflect translation decisions.
The fictional packet offers brief turns rather than extended narratives, which constrains depth of coding.",syn_agyw_01_run1.json
syn_agyw_01,1,B3,"Participants describe schooling and health-information access as constrained by income needs, transport and data costs, shared devices, care and household duties, conflicting schedules, and anticipated observation. Supports are concrete and uneven: friends share notes, peers provide information, a nurse adjusts appointment conditions, and one aunt supplies a tablet and data. The exchange also contests an adult framing of disrupted schooling as lost focus, replacing it in one participant's account with care, money, and time constraints.","C01 Household duty and income tradeoff: Schooling or service access competes with paid work, caregiving, water collection, food preparation, or other household obligations.
C02 Cost and transport barrier: Money required for transport or attendance limits participation.
C03 Constrained digital access: Shared devices, device availability, data, or delayed teacher access affects remote schooling.
C04 Peer or relational workaround: A friend, peer educator, or small group provides notes, information, or collaborative reconstruction when formal access is incomplete or risky.
C05 Privacy-conditioned health access: Willingness or ability to seek youth health information depends on being unseen or unheard by neighbors or family.
C06 Competing explanation of disengagement: A speaker attributes disrupted participation to lost focus or supervision, or explicitly challenges that account with structural constraints.
C07 Schedule collision: School, clinic, work, or home activities demand the same limited time.","T01 Access depends on resources and compatible time: In these groups, reopening or nearby provision does not by itself secure participation when money, devices, duties, and schedules remain constrained.
T02 Relational supports bridge gaps and privacy risks: Friends, peer educators, collaborative study, and tailored clinical privacy create alternate routes to schooling or health information when standard routes are incomplete or socially risky.
T03 Structural accounts contest a focus narrative: Within one exchange and related clarifications, a supervision-and-focus explanation is challenged by accounts of care, transport money, and conflicts in time.","AG_E10: Material support enabled continuity and prevents treating disruption as uniform.
AG_E04: This adult account preserves a competing causal interpretation rather than a consensus structural account.
AG_E12: The wording is a moderator check, so it cannot be counted as an additional participant claim.","Translated excerpts may compress meanings not available in the English text.
The moderator question does not provide the participant's subsequent confirmation or correction.","Peer workarounds may reflect community resourcefulness while also signaling incomplete formal provision.
The adult's supervision proposal could be intended as concern, although the participant states why it would not solve her constraints.","Speaker IDs are stable only within each focus group, limiting cross-group identity inference.
The short excerpts do not show long-term attendance, service outcomes, or information quality.",syn_agyw_01_run1.json
syn_agyw_01,1,B4,"These fictional focus-group turns describe school and information access as shaped by income, transport, shared devices, care duties, service timing, and privacy concerns. Participants also name peer, family, and provider supports, while one adult explanation is directly contested and one participant reports continuity enabled by family resources.","C01 Income-linked schooling tradeoff: School participation is explicitly weighed against income or transport cost.
C02 Shared or limited learning access: Access to lessons is constrained by a shared device, delayed interaction, or incomplete materials.
C03 Care and duty time conflict: Household care or duties occupy the same time as school or clinic access.
C04 Privacy-sensitive information seeking: Fear of being seen or a private service arrangement shapes health-information access.
C05 Peer or provider workaround: Peers or a provider offer a concrete workaround to a stated access problem.
C06 Contested explanation of disruption: A participant contests an account that frames disrupted participation as lack of focus or interest.
C07 Family-enabled continuity: A family member supplies technology or data that permits continuing schooling.","T01 Access is constrained by resources and overlapping obligations: In these excerpts, schooling and clinic access are described as contingent on income, transport, device availability, and time claimed by household duties.
T02 Tailored privacy and peer arrangements open alternate routes: Some participants describe peer and provider arrangements as making information or learning access more feasible when ordinary routes are blocked or risky.
T03 An account of lost focus is disputed by an account of constraints: Within one group, an adult's explanation centered on supervision is directly challenged by a participant who names care, transport, and household constraints.","AG_E10: Disruption was not described uniformly across these participants.
AG_E04: An explanation centered on supervision is present and contested rather than omitted.","The packet does not show outcomes after the described workarounds.
Translated wording may compress distinctions in AG_E03 and AG_E11.","Peer arrangements may be social support as well as practical access routes.
The adult's statement may describe a perception rather than a complete causal account.","Speaker identities are stable only within groups.
Short turns cannot establish frequency or duration of disruptions.",syn_agyw_01_run1.json
syn_agyw_01,1,B5,"Participants describe schooling and health-information access as constrained by income, transport, shared devices, care work, time conflicts, and privacy risks. Peer collaboration, material support, and confidential services expand access. An adult supervision account is explicitly challenged by a participant's situated explanation.","C01 Income and fare constraint: Money or income conditions that interrupt schooling access.
C02 Care and household labor: Paid or unpaid household duties competing with schooling or services.
C03 Device and connectivity limitation: Shared or insufficient digital access delaying lessons or information.
C04 Time-access conflict: Service or school schedules colliding with required activities.
C05 Privacy and confidentiality: Concern about being observed or a confidential interaction enabling information seeking.
C06 Peer or material support: Peers, relatives, or community resources that compensate for disrupted access.
C07 Interpretive contestation: A participant's account reframing a deficit explanation through situated constraints.","T01 Access is structured by competing resources and duties: In these groups, schooling and clinic access are shaped by money, devices, care work, and schedule conflicts rather than motivation alone.
T02 Trust and support reopen pathways: In these excerpts, privacy, peer support, and targeted material help make participation or information seeking more feasible.","AG_E10: Preserves a supported near-normal schooling case alongside peers' disruption.
AG_E04: Shows an alternative adult interpretation that is later contested.
AG_E12: Moderator clarification keeps interpretation open.","The packet does not specify the duration of the emergency or exact attendance outcomes.
The adult account and participant rebuttal provide situated perspectives rather than adjudicated facts.","Peer support may provide emotional solidarity as well as academic recovery.
Privacy concerns may reflect anticipated family response, neighborhood observation, or both.","Speaker IDs are only within focus groups.
Translated lines may carry wording choices not assessable here.",syn_agyw_01_run1.json
syn_agyw_01,2,B1,"Participants describe schooling and health-information access as shaped by income replacement, transport costs, shared technology, care and household schedules, and privacy concerns. Family resources, peers, and a flexible nurse sometimes preserve access, while the paired adult-participant exchange contests a motivation-based explanation with concrete constraints.","C01 Income-school tradeoff: School participation conflicts with work or household income needs.
C02 Cost and device barrier: Transport costs, device sharing, or data availability restrict schooling.
C03 Competing care and household time: Care, water, food preparation, school, or clinic demands occupy the same limited hours.
C04 Privacy-sensitive access: Expected observation or disclosure affects willingness or ability to seek health information.
C05 Adaptive support: A person or peer arrangement supplies practical, educational, or confidential access.
C06 Constraint reframes motivation: An interaction contrasts a focus or interest explanation with structural or scheduling constraints.","T01 Access depends on resources and synchronized time: In these groups, formal reopening or nearby services do not ensure access when income, fares, devices, care duties, and service hours conflict.
T02 Relational supports reroute incomplete access: Peers, relatives, and a nurse create alternative routes to lessons or health information, but these supports vary in completeness and privacy.","AG_E10: Substantial family resources enabled continuity, limiting any claim of uniform school disruption.
AG_E04: This adult account offers a focus-and-supervision explanation that is explicitly contested by the next participant.
AG_E12: Because this is a moderator check, it cannot be treated as a participant-endorsed conclusion without a subsequent answer.","Translated lines may compress distinctions present in an unspecified source language.
The packet does not show whether peer-provided health information was accurate or sufficient.","Copying and pooling notes may represent social support, an improvised educational system, or both.
The adult's supervision proposal may reflect concern rather than blame, but the adjacent participant rejects its adequacy.","Speaker identifiers are stable only within each focus group, limiting cross-group person-level interpretation.
The small fictional excerpt set cannot support prevalence claims about youth experiences.",syn_agyw_01_run2.json
syn_agyw_01,2,B2,"In these excerpts, disruptions to schooling and youth health information are described less as lack of interest than as conflicts among income needs, care duties, transport costs, device access, and concerns about visibility at home or in the community. Supports are practical and relational, such as peers, private appointments, or relatives with devices, but the packet also preserves a minority account of near-normal continuity and an adult interpretation that participants explicitly contest.","C01 Economic tradeoff against schooling: School attendance or return is constrained by income needs or direct education costs.
C02 Shared or unavailable access technology: Learning is disrupted because lessons depend on devices or connectivity not fully under the participant's control.
C03 Care and domestic duty conflict: Schooling or clinic access is constrained by caregiving or household labor that occupies the same time.
C04 Interest-deficit account contested: A participant or adult frames disruption as lost focus or motivation, and that framing is challenged or narrowed.
C05 Privacy-sensitive access choice: Access to health information depends on whether a setting protects privacy from family or neighbors.
C06 Peer or tailored support as workaround: Participants describe support arrangements that reconstruct access despite disruption.
C07 Competing time windows narrow choice: Multiple obligations demand the same hours, shrinking the participant's practical options.","T01 Participants frame disruption as structural tradeoff rather than simple lost motivation: In these excerpts, disrupted schooling is mainly described as the result of income needs, costs, caregiving, and scheduling conflicts, and an adult 'lost focus' interpretation is directly challenged.
T02 Access depends on whether support arrangements fit the participant's local constraints: In these excerpts, support is effective when it is tailored to the participant's practical situation, such as shared note reconstruction, confidential appointments, or device lending.
T03 Visibility and timing shape whether youth health information feels reachable: In these excerpts, youth health information is not only about physical availability; it is shaped by whether services can be used privately and at times that do not conflict with household duties.","AG_E10: Counters any claim that emergency conditions uniformly disrupted schooling in the packet.
AG_E04: Preserves a competing explanation that participants later contest rather than erasing disagreement.","The translated excerpts may compress meanings that were fuller in the original language.
The packet does not show whether peer or nurse supports were sustained over time.
The adult speaker's view may or may not reflect wider community sentiment beyond that one turn.","AG_E08 could be read as strategic channel selection rather than primarily privacy avoidance, though the visibility concern is explicit.
AG_E10 may represent household advantage, but the packet does not justify inferring socioeconomic status beyond the described support.
AG_E06 might reflect household surveillance as well as time conflict, though the excerpt most clearly states duty timing and resulting questions at home.","These are short fictional focus-group turns with limited sequential follow-up.
Speaker IDs are stable only within source groups, so cross-group trajectories cannot be traced.
The packet supports bounded claims about described disruptions and supports, not population-level conclusions.",syn_agyw_01_run2.json
syn_agyw_01,2,B3,"Participants describe access as shaped by competing duties, transport, shared technology, timing, privacy, and peer or family support; one account reports near-normal continuity.","C01 Competing duties: Work or care conflicts with school or clinic access.
C02 Transport cost: Fare or transport limits attendance.
C03 Device and timing limits: Shared devices or service hours delay learning or communication.
C04 Privacy concern: Observation or reporting fear shapes health-information seeking.
C05 Support and contestation: Peers, relatives, staff, or participants' reframing alter access or interpretation.","T01 Competing access demands: Access is constrained when duties, fare, devices, and service hours compete.
T02 Support makes access usable: Privacy-preserving services and collective or family resources can restore partial access.","AG_E10: Continuity contrasts with disruption.
AG_E12: Clarification, not direct participant outcome.",Translated wording may omit context.,Adult supervision framing may be incomplete rather than malicious.,No prevalence or duration is established.,syn_agyw_01_run2.json
syn_agyw_01,2,B4,"In these fictional focus-group excerpts, schooling and youth health information are shaped by practical constraints: income replacement, transport costs, shared devices, domestic duties, service hours, and privacy concerns. Supports include friends sharing notes, a borrowed tablet and data, peer education, and a quiet appointment. One adult account frames disruption as lost focus, but participant replies reframe it as constrained choice and competing obligations.","C01 Income and transport barriers: Money or transport costs interrupt school attendance or return.
C02 Shared technology limits: Remote learning depends on scarce or shared devices, data, or teacher availability.
C03 Care and domestic time conflict: Household duties or caregiving compete with schooling or clinic access.
C04 Privacy and reputational risk: Concern about being seen or overheard affects willingness or ability to seek youth health information.
C05 Peer or family support: Friends, relatives, peer educators, or small groups provide practical access to schooling or information.
C06 Interest-blame framing challenged: A disruption is framed as lack of focus or interest and then questioned, clarified, or countered by structural explanations.","T01 Disruption is practical and simultaneous: Participants describe schooling and clinic access as constrained by practical obligations that occur at the same time, not simply by motivation.
T02 Access depends on privacy and available intermediaries: Health information and schooling support become reachable when privacy is protected or when peers and family help bridge resource gaps.","AG_E04: An adult account attributes disruption to focus, which must be preserved as a competing framing even though participants challenge it.
AG_E10: The packet contains a case of relative continuity, limiting claims that all excerpts show severe school disruption.","The excerpts do not show whether participants ultimately returned to school or maintained clinic contact.
Translated metaphors such as path became narrow are interpreted only through the provided clarification.","AG_E04 could represent concern expressed in limited terms rather than blame alone.
AG_E12 is a moderator clarification, so it may support analytic interpretation without adding participant experience.","The packet is fictional and not a basis for demographic claims.
Speaker IDs are stable only within source groups.
The analysis cannot estimate how common each barrier is.",syn_agyw_01_run2.json
syn_agyw_01,2,B5,"Participants describe schooling and service access as shaped by money, shared technology, care duties, timing, and privacy. Their accounts also show peer and family support, while an adult explanation is directly contested and one participant reports comparatively uninterrupted schooling.","C01 Income and fare constraint: School participation is linked to household income needs or unaffordable transport.
C02 Shared access delay: Access to lessons is delayed or incomplete because a device or materials are shared.
C03 Competing care and domestic time: Care or household duties conflict with school or clinic timing.
C04 Privacy-sensitive information seeking: Concern about being seen or heard shapes seeking clinic information.
C05 Peer or family support: Peers or relatives provide materials, access, or collaborative learning support.
C06 Contested explanation: An explanation that frames disruption as lack of focus is offered or countered with material and care constraints.","T01 Access is constrained by timing and resources: In these focus-group excerpts, school and clinic access are described as difficult when money, shared devices, and care duties compete with participation.
T02 Support and privacy reshape routes to information: In these excerpts, peer, family, and clinic arrangements create alternative routes to learning or health information when ordinary access is difficult.","AG_E10: The speaker explicitly marks continued schooling as non-uniform.
AG_E04: This proposed explanation is present but is contested in the next participant turn.",Translated wording may not retain every nuance of the original turns.,Peer support may be a partial workaround rather than evidence that formal access became adequate.,"Speaker identities are stable only within groups, and brief excerpts cannot establish changes over the full emergency.",syn_agyw_01_run2.json
