judge_model_id,packet_id,run_index,blind_id,model_id,output_id,evidential_credibility,voice_boundary_preservation,scope_calibration,cannot_judge,confidence,serious_error_count,serious_error_flags,rationale
gpt-5.5,syn_dreaddit_01,1,B1,gpt-5.6-luna,syn_dreaddit_01__run1__gpt-5.6-luna,4,4,4,,5,0,,Good support; compressed boundary themes.
gpt-5.5,syn_dreaddit_01,1,B2,gpt-5.5,syn_dreaddit_01__run1__gpt-5.5,5,5,5,,5,0,,Fully warranted; all designed boundaries retained.
gpt-5.5,syn_dreaddit_01,1,B3,gpt-5.6-sol,syn_dreaddit_01__run1__gpt-5.6-sol,5,5,5,,5,0,,Strong bounded synthesis with partial relief and non-crisis cases.
gpt-5.5,syn_dreaddit_01,1,B4,gpt-5.4,syn_dreaddit_01__run1__gpt-5.4,5,5,5,,5,0,,"Excellent differentiated account of strain, closure, and mixed valence."
gpt-5.5,syn_dreaddit_01,1,B5,gpt-5.6-terra,syn_dreaddit_01__run1__gpt-5.6-terra,4,4,4,,5,0,,Accurate and scoped but less developed than top candidates.
gpt-5.5,syn_dreaddit_01,2,B1,gpt-5.6-sol,syn_dreaddit_01__run2__gpt-5.6-sol,4,4,4,,5,0,,Accurate bounded account with compact mixed-valence coverage.
gpt-5.5,syn_dreaddit_01,2,B2,gpt-5.4,syn_dreaddit_01__run2__gpt-5.4,5,5,5,,5,0,,"Strongly warranted; preserves pressure, support, closure, and help-seeking burden."
gpt-5.5,syn_dreaddit_01,2,B3,gpt-5.5,syn_dreaddit_01__run2__gpt-5.5,4,4,4,,5,0,,Solid but misses some mixed-valence nuance in synthesis.
gpt-5.5,syn_dreaddit_01,2,B4,gpt-5.6-terra,syn_dreaddit_01__run2__gpt-5.6-terra,4,4,4,,5,0,,Good concise account with limited theme granularity.
gpt-5.5,syn_dreaddit_01,2,B5,gpt-5.6-luna,syn_dreaddit_01__run2__gpt-5.6-luna,3,3,4,,4,0,,Very compressed; core direction is right but boundary cases are thin.
gpt-5.5,syn_dreaddit_01,3,B1,gpt-5.5,syn_dreaddit_01__run3__gpt-5.5,5,5,5,,5,0,,Excellent local warrants and temporal limits.
gpt-5.5,syn_dreaddit_01,3,B2,gpt-5.4,syn_dreaddit_01__run3__gpt-5.4,5,5,5,,5,0,,"Strong preservation of pressure, relief, temporal change, and mixed feeling."
gpt-5.5,syn_dreaddit_01,3,B3,gpt-5.6-luna,syn_dreaddit_01__run3__gpt-5.6-luna,3,3,4,,4,0,,Too generic to preserve key boundary and mixed-valence distinctions.
gpt-5.5,syn_dreaddit_01,3,B4,gpt-5.6-terra,syn_dreaddit_01__run3__gpt-5.6-terra,4,4,4,,5,0,,Accurate and bounded with some compression.
gpt-5.5,syn_dreaddit_01,3,B5,gpt-5.6-sol,syn_dreaddit_01__run3__gpt-5.6-sol,5,5,5,,5,0,,"Strong synthesis of overlap, material strain, resources, and ambivalence."
gpt-5.5,syn_agyw_01,1,B1,gpt-5.5,syn_agyw_01__run1__gpt-5.5,5,5,5,,5,0,,"Strong structural, privacy, support, and disagreement preservation."
gpt-5.5,syn_agyw_01,1,B2,gpt-5.4,syn_agyw_01__run1__gpt-5.4,5,5,5,,5,0,,Excellent practical-constraint and competing-viewpoint coverage.
gpt-5.5,syn_agyw_01,1,B3,gpt-5.6-sol,syn_agyw_01__run1__gpt-5.6-sol,5,5,5,,5,0,,Directly warranted and careful about moderator clarification.
gpt-5.5,syn_agyw_01,1,B4,gpt-5.6-terra,syn_agyw_01__run1__gpt-5.6-terra,4,4,4,,5,0,,Good but thinner on translated uncertainty and support unevenness.
gpt-5.5,syn_agyw_01,1,B5,gpt-5.6-luna,syn_agyw_01__run1__gpt-5.6-luna,4,4,4,,5,0,,Accurate concise synthesis with limited translated-boundary depth.
gpt-5.5,syn_agyw_01,2,B1,gpt-5.6-sol,syn_agyw_01__run2__gpt-5.6-sol,4,5,5,,5,0,,Well scoped; reference recovery misses translated clarification.
gpt-5.5,syn_agyw_01,2,B2,gpt-5.4,syn_agyw_01__run2__gpt-5.4,5,5,5,,5,0,,"Strong tradeoff, privacy, support, and contested-framing account."
gpt-5.5,syn_agyw_01,2,B3,gpt-5.6-luna,syn_agyw_01__run2__gpt-5.6-luna,3,3,3,,4,0,,Over-compressed and loses consequential distinctions.
gpt-5.5,syn_agyw_01,2,B4,gpt-5.5,syn_agyw_01__run2__gpt-5.5,4,4,4,,5,0,,Good practical-constraint account with limited translation depth.
gpt-5.5,syn_agyw_01,2,B5,gpt-5.6-terra,syn_agyw_01__run2__gpt-5.6-terra,4,4,4,,5,0,,Accurate but compressed on digital access and translation.
gpt-5.5,syn_agyw_01,3,B1,gpt-5.6-terra,syn_agyw_01__run3__gpt-5.6-terra,4,4,4,,5,0,,Warranted broad account; some nuanced references lightly handled.
gpt-5.5,syn_agyw_01,3,B2,gpt-5.6-sol,syn_agyw_01__run3__gpt-5.6-sol,5,5,5,,5,0,,"Strong constraints, privacy, support, contested framing, and uncertainty."
gpt-5.5,syn_agyw_01,3,B3,gpt-5.6-luna,syn_agyw_01__run3__gpt-5.6-luna,3,3,3,,4,0,,Highly compressed; broad barriers retained but granularity lost.
gpt-5.5,syn_agyw_01,3,B4,gpt-5.5,syn_agyw_01__run3__gpt-5.5,5,5,5,,5,0,,"Excellent resources, privacy, focus-contestation, and narrowed-choice caution."
gpt-5.5,syn_agyw_01,3,B5,gpt-5.4,syn_agyw_01__run3__gpt-5.4,5,5,5,,5,0,,"Strong structural, visibility, uneven-workaround, and disagreement account."
gpt-5.5,syn_kodis_01,1,B1,gpt-5.6-luna,syn_kodis_01__run1__gpt-5.6-luna,4,4,4,,5,0,,Accurate but compressed on different verification effects.
gpt-5.5,syn_kodis_01,1,B2,gpt-5.6-terra,syn_kodis_01__run1__gpt-5.6-terra,5,5,5,,5,0,,"Strong evidence-linked repair, tone repair, accommodation, and impasse."
gpt-5.5,syn_kodis_01,1,B3,gpt-5.6-sol,syn_kodis_01__run1__gpt-5.6-sol,5,5,5,,5,0,,"Excellent bounded account of verification, repair, flexibility, and appeal."
gpt-5.5,syn_kodis_01,1,B4,gpt-5.4,syn_kodis_01__run1__gpt-5.4,5,5,5,,5,0,,"Rich and calibrated across repair, tone work, flexibility, and impasse."
gpt-5.5,syn_kodis_01,1,B5,gpt-5.5,syn_kodis_01__run1__gpt-5.5,5,5,5,,5,0,,"Strong coverage of verification, acknowledgment, negotiated steps, and standoff."
gpt-5.5,syn_kodis_01,2,B1,gpt-5.6-luna,syn_kodis_01__run2__gpt-5.6-luna,3,3,3,,4,1,unsupported_inference,Terse and treats evidence as required without enough warrant.
gpt-5.5,syn_kodis_01,2,B2,gpt-5.6-terra,syn_kodis_01__run2__gpt-5.6-terra,4,4,4,,5,0,,Accurate but compact on flexibility and procedure effects.
gpt-5.5,syn_kodis_01,2,B3,gpt-5.6-sol,syn_kodis_01__run2__gpt-5.6-sol,5,5,5,,5,0,,"Strong evidence coordination, metacommunication, bounded options, and impasse."
gpt-5.5,syn_kodis_01,2,B4,gpt-5.5,syn_kodis_01__run2__gpt-5.5,5,5,5,,5,0,,"Strong repair routes, wording repair, reciprocal impasse, and uncertainty."
gpt-5.5,syn_kodis_01,2,B5,gpt-5.4,syn_kodis_01__run2__gpt-5.4,5,5,5,,5,0,,"Excellent verification, acknowledgment, flexibility, repetition, and escalation."
gpt-5.5,syn_kodis_01,3,B1,gpt-5.4,syn_kodis_01__run3__gpt-5.4,5,5,5,,5,0,,"Strong evidentiary repair, acknowledgment, narrowing, and impasse."
gpt-5.5,syn_kodis_01,3,B2,gpt-5.6-sol,syn_kodis_01__run3__gpt-5.6-sol,5,5,5,,5,0,,Well warranted and careful about next steps and escalation limits.
gpt-5.5,syn_kodis_01,3,B3,gpt-5.6-terra,syn_kodis_01__run3__gpt-5.6-terra,4,4,4,,5,0,,Mostly sound but somewhat generic on procedure effects.
gpt-5.5,syn_kodis_01,3,B4,gpt-5.5,syn_kodis_01__run3__gpt-5.5,5,5,5,,5,0,,"Excellent verification, meaning repair, negotiated remedy, and impasse."
gpt-5.5,syn_kodis_01,3,B5,gpt-5.6-luna,syn_kodis_01__run3__gpt-5.6-luna,3,3,3,,4,0,,"Correct direction but too compressed on tone, flexibility, and procedure."
gpt-5.5,syn_candor_01,1,B1,gpt-5.5,syn_candor_01__run1__gpt-5.5,5,5,5,,5,0,,"Excellent inquiry, advice timing, cue repair, and connection-preserving boundaries."
gpt-5.5,syn_candor_01,1,B2,gpt-5.6-sol,syn_candor_01__run1__gpt-5.6-sol,5,5,5,,5,0,,"Strong advice timing, ambiguous cues, future signaling, and affiliation/refusal."
gpt-5.5,syn_candor_01,1,B3,gpt-5.6-terra,syn_candor_01__run1__gpt-5.6-terra,4,4,4,,5,0,,"Good account, with less developed boundary variation."
gpt-5.5,syn_candor_01,1,B4,gpt-5.4,syn_candor_01__run1__gpt-5.4,5,5,5,,5,0,,"Excellent response-format, cue-repair, and boundary synthesis."
gpt-5.5,syn_candor_01,1,B5,gpt-5.6-luna,syn_candor_01__run1__gpt-5.6-luna,4,4,4,,5,0,,Accurate but thinner on open-question safety and repair sequence.
gpt-5.5,syn_candor_01,2,B1,gpt-5.6-luna,syn_candor_01__run2__gpt-5.6-luna,4,4,4,,5,0,,Sound concise account with limited vulnerability granularity.
gpt-5.5,syn_candor_01,2,B2,gpt-5.6-terra,syn_candor_01__run2__gpt-5.6-terra,4,4,4,,5,0,,Accurate but thin on affiliation/refusal and future meta-communication.
gpt-5.5,syn_candor_01,2,B3,gpt-5.4,syn_candor_01__run2__gpt-5.4,5,5,5,,5,0,,"Strong calibration, mistimed advice, cue reinterpretation, and boundaries."
gpt-5.5,syn_candor_01,2,B4,gpt-5.5,syn_candor_01__run2__gpt-5.5,5,5,5,,5,0,,"Excellent inquiry, meaning repair, advice timing, and boundary-with-connection."
gpt-5.5,syn_candor_01,2,B5,gpt-5.6-sol,syn_candor_01__run2__gpt-5.6-sol,4,4,4,,5,0,,Good account but compressed on affiliation/disagreement coexistence.
gpt-5.5,syn_candor_01,3,B1,gpt-5.6-sol,syn_candor_01__run3__gpt-5.6-sol,5,5,5,,5,0,,"Excellent concise account of timing, cue repair, and bounded preferences."
gpt-5.5,syn_candor_01,3,B2,gpt-5.6-luna,syn_candor_01__run3__gpt-5.6-luna,4,4,4,,5,0,,Accurate but thin on vulnerable-disclosure safety.
gpt-5.5,syn_candor_01,3,B3,gpt-5.6-terra,syn_candor_01__run3__gpt-5.6-terra,4,4,4,,5,0,,Generally warranted; some themes rely on limited evidence.
gpt-5.5,syn_candor_01,3,B4,gpt-5.4,syn_candor_01__run3__gpt-5.4,5,5,5,,5,0,,"Strong fit, repair, future meta-communication, and connection-preserving boundaries."
gpt-5.5,syn_candor_01,3,B5,gpt-5.5,syn_candor_01__run3__gpt-5.5,5,5,5,,5,0,,"Excellent negotiated support, misread cues, and boundary with connection."
