packet_id,run_index,blind_id,model_id
syn_dreaddit_01,1,B1,gpt-5.6-luna
syn_dreaddit_01,1,B2,gpt-5.5
syn_dreaddit_01,1,B3,gpt-5.6-sol
syn_dreaddit_01,1,B4,gpt-5.4
syn_dreaddit_01,1,B5,gpt-5.6-terra
syn_dreaddit_01,2,B1,gpt-5.6-sol
syn_dreaddit_01,2,B2,gpt-5.4
syn_dreaddit_01,2,B3,gpt-5.5
syn_dreaddit_01,2,B4,gpt-5.6-terra
syn_dreaddit_01,2,B5,gpt-5.6-luna
syn_dreaddit_01,3,B1,gpt-5.5
syn_dreaddit_01,3,B2,gpt-5.4
syn_dreaddit_01,3,B3,gpt-5.6-luna
syn_dreaddit_01,3,B4,gpt-5.6-terra
syn_dreaddit_01,3,B5,gpt-5.6-sol
syn_agyw_01,1,B1,gpt-5.5
syn_agyw_01,1,B2,gpt-5.4
syn_agyw_01,1,B3,gpt-5.6-sol
syn_agyw_01,1,B4,gpt-5.6-terra
syn_agyw_01,1,B5,gpt-5.6-luna
syn_agyw_01,2,B1,gpt-5.6-sol
syn_agyw_01,2,B2,gpt-5.4
syn_agyw_01,2,B3,gpt-5.6-luna
syn_agyw_01,2,B4,gpt-5.5
syn_agyw_01,2,B5,gpt-5.6-terra
syn_agyw_01,3,B1,gpt-5.6-terra
syn_agyw_01,3,B2,gpt-5.6-sol
syn_agyw_01,3,B3,gpt-5.6-luna
syn_agyw_01,3,B4,gpt-5.5
syn_agyw_01,3,B5,gpt-5.4
syn_kodis_01,1,B1,gpt-5.6-luna
syn_kodis_01,1,B2,gpt-5.6-terra
syn_kodis_01,1,B3,gpt-5.6-sol
syn_kodis_01,1,B4,gpt-5.4
syn_kodis_01,1,B5,gpt-5.5
syn_kodis_01,2,B1,gpt-5.6-luna
syn_kodis_01,2,B2,gpt-5.6-terra
syn_kodis_01,2,B3,gpt-5.6-sol
syn_kodis_01,2,B4,gpt-5.5
syn_kodis_01,2,B5,gpt-5.4
syn_kodis_01,3,B1,gpt-5.4
syn_kodis_01,3,B2,gpt-5.6-sol
syn_kodis_01,3,B3,gpt-5.6-terra
syn_kodis_01,3,B4,gpt-5.5
syn_kodis_01,3,B5,gpt-5.6-luna
syn_candor_01,1,B1,gpt-5.5
syn_candor_01,1,B2,gpt-5.6-sol
syn_candor_01,1,B3,gpt-5.6-terra
syn_candor_01,1,B4,gpt-5.4
syn_candor_01,1,B5,gpt-5.6-luna
syn_candor_01,2,B1,gpt-5.6-luna
syn_candor_01,2,B2,gpt-5.6-terra
syn_candor_01,2,B3,gpt-5.4
syn_candor_01,2,B4,gpt-5.5
syn_candor_01,2,B5,gpt-5.6-sol
syn_candor_01,3,B1,gpt-5.6-sol
syn_candor_01,3,B2,gpt-5.6-luna
syn_candor_01,3,B3,gpt-5.6-terra
syn_candor_01,3,B4,gpt-5.4
syn_candor_01,3,B5,gpt-5.5
