corpus_id,method,model_id,flaw_type,tp,n,tp_over_n,recall,credibility_success_rate,conformability_success_rate,quality_judge_valid_n
goemotions,All roles,gemma3:4b,ALL,80,100,80/100,0.8,,,
goemotions,All roles,gemma3:4b,contextual_flattening,20,20,20/20,1.0,,,
goemotions,All roles,gemma3:4b,counterevidence_loss,5,20,5/20,0.25,,,
goemotions,All roles,gemma3:4b,source_concentration,15,20,15/20,0.75,,,
goemotions,All roles,gemma3:4b,unsupported_abstraction,20,20,20/20,1.0,,,
goemotions,All roles,gemma3:4b,unsupported_evidence,20,20,20/20,1.0,,,
goemotions,All roles,llama3.1:8b,ALL,76,100,76/100,0.76,,,
goemotions,All roles,llama3.1:8b,contextual_flattening,20,20,20/20,1.0,,,
goemotions,All roles,llama3.1:8b,counterevidence_loss,16,20,16/20,0.8,,,
goemotions,All roles,llama3.1:8b,source_concentration,1,20,1/20,0.05,,,
goemotions,All roles,llama3.1:8b,unsupported_abstraction,19,20,19/20,0.95,,,
goemotions,All roles,llama3.1:8b,unsupported_evidence,20,20,20/20,1.0,,,
goemotions,All roles,qwen3:8b,ALL,91,100,91/100,0.91,,,
goemotions,All roles,qwen3:8b,contextual_flattening,20,20,20/20,1.0,,,
goemotions,All roles,qwen3:8b,counterevidence_loss,20,20,20/20,1.0,,,
goemotions,All roles,qwen3:8b,source_concentration,20,20,20/20,1.0,,,
goemotions,All roles,qwen3:8b,unsupported_abstraction,20,20,20/20,1.0,,,
goemotions,All roles,qwen3:8b,unsupported_evidence,11,20,11/20,0.55,,,
goemotions,Fixed role,gemma3:4b,ALL,79,100,79/100,0.79,,,
goemotions,Fixed role,gemma3:4b,contextual_flattening,20,20,20/20,1.0,,,
goemotions,Fixed role,gemma3:4b,counterevidence_loss,4,20,4/20,0.2,,,
goemotions,Fixed role,gemma3:4b,source_concentration,15,20,15/20,0.75,,,
goemotions,Fixed role,gemma3:4b,unsupported_abstraction,20,20,20/20,1.0,,,
goemotions,Fixed role,gemma3:4b,unsupported_evidence,20,20,20/20,1.0,,,
goemotions,Fixed role,llama3.1:8b,ALL,56,100,56/100,0.56,,,
goemotions,Fixed role,llama3.1:8b,contextual_flattening,10,20,10/20,0.5,,,
goemotions,Fixed role,llama3.1:8b,counterevidence_loss,13,20,13/20,0.65,,,
goemotions,Fixed role,llama3.1:8b,source_concentration,0,20,0/20,0.0,,,
goemotions,Fixed role,llama3.1:8b,unsupported_abstraction,18,20,18/20,0.9,,,
goemotions,Fixed role,llama3.1:8b,unsupported_evidence,15,20,15/20,0.75,,,
goemotions,Fixed role,qwen3:8b,ALL,84,100,84/100,0.84,,,
goemotions,Fixed role,qwen3:8b,contextual_flattening,20,20,20/20,1.0,,,
goemotions,Fixed role,qwen3:8b,counterevidence_loss,20,20,20/20,1.0,,,
goemotions,Fixed role,qwen3:8b,source_concentration,13,20,13/20,0.65,,,
goemotions,Fixed role,qwen3:8b,unsupported_abstraction,20,20,20/20,1.0,,,
goemotions,Fixed role,qwen3:8b,unsupported_evidence,11,20,11/20,0.55,,,
goemotions,Generalist,gemma3:4b,ALL,61,100,61/100,0.61,,,
goemotions,Generalist,gemma3:4b,contextual_flattening,19,20,19/20,0.95,,,
goemotions,Generalist,gemma3:4b,counterevidence_loss,2,20,2/20,0.1,,,
goemotions,Generalist,gemma3:4b,source_concentration,0,20,0/20,0.0,,,
goemotions,Generalist,gemma3:4b,unsupported_abstraction,20,20,20/20,1.0,,,
goemotions,Generalist,gemma3:4b,unsupported_evidence,20,20,20/20,1.0,,,
goemotions,Generalist,llama3.1:8b,ALL,56,100,56/100,0.56,,,
goemotions,Generalist,llama3.1:8b,contextual_flattening,10,20,10/20,0.5,,,
goemotions,Generalist,llama3.1:8b,counterevidence_loss,13,20,13/20,0.65,,,
goemotions,Generalist,llama3.1:8b,source_concentration,0,20,0/20,0.0,,,
goemotions,Generalist,llama3.1:8b,unsupported_abstraction,18,20,18/20,0.9,,,
goemotions,Generalist,llama3.1:8b,unsupported_evidence,15,20,15/20,0.75,,,
goemotions,Generalist,qwen3:8b,ALL,73,100,73/100,0.73,,,
goemotions,Generalist,qwen3:8b,contextual_flattening,20,20,20/20,1.0,,,
goemotions,Generalist,qwen3:8b,counterevidence_loss,20,20,20/20,1.0,,,
goemotions,Generalist,qwen3:8b,source_concentration,11,20,11/20,0.55,,,
goemotions,Generalist,qwen3:8b,unsupported_abstraction,20,20,20/20,1.0,,,
goemotions,Generalist,qwen3:8b,unsupported_evidence,2,20,2/20,0.1,,,
goemotions,WarrantRoute,gemma3:4b,ALL,69,100,69/100,0.69,,,
goemotions,WarrantRoute,gemma3:4b,contextual_flattening,20,20,20/20,1.0,,,
goemotions,WarrantRoute,gemma3:4b,counterevidence_loss,3,20,3/20,0.15,,,
goemotions,WarrantRoute,gemma3:4b,source_concentration,6,20,6/20,0.3,,,
goemotions,WarrantRoute,gemma3:4b,unsupported_abstraction,20,20,20/20,1.0,,,
goemotions,WarrantRoute,gemma3:4b,unsupported_evidence,20,20,20/20,1.0,,,
goemotions,WarrantRoute,llama3.1:8b,ALL,45,100,45/100,0.45,,,
goemotions,WarrantRoute,llama3.1:8b,contextual_flattening,10,20,10/20,0.5,,,
goemotions,WarrantRoute,llama3.1:8b,counterevidence_loss,6,20,6/20,0.3,,,
goemotions,WarrantRoute,llama3.1:8b,source_concentration,0,20,0/20,0.0,,,
goemotions,WarrantRoute,llama3.1:8b,unsupported_abstraction,17,20,17/20,0.85,,,
goemotions,WarrantRoute,llama3.1:8b,unsupported_evidence,12,20,12/20,0.6,,,
goemotions,WarrantRoute,qwen3:8b,ALL,83,100,83/100,0.83,,,
goemotions,WarrantRoute,qwen3:8b,contextual_flattening,20,20,20/20,1.0,,,
goemotions,WarrantRoute,qwen3:8b,counterevidence_loss,18,20,18/20,0.9,,,
goemotions,WarrantRoute,qwen3:8b,source_concentration,20,20,20/20,1.0,,,
goemotions,WarrantRoute,qwen3:8b,unsupported_abstraction,20,20,20/20,1.0,,,
goemotions,WarrantRoute,qwen3:8b,unsupported_evidence,5,20,5/20,0.25,,,
